profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
fcart_7-0-0,Iteration Report,"Space, as installed approval entity",Space Information,"",n,y,authority,person/local; organization/local,iterationreport,approvalEntity
fcart_7-0-0,Iteration Report,Exhibition approval entity,Iteration Details,"",n,y,authority,person/local; organization/local,iterationreport,exhibitionApprovalEntity
fcart_7-0-0,Iteration Report,Installed equipment approval entity,Iteration Details,"",n,y,authority,person/local; organization/local,iterationreport,installedEquipmentApprovalEntity
fcart_7-0-0,Iteration Report,Technical setup approval entity,Iteration Details,"",n,y,authority,person/local; organization/local,iterationreport,technicalSetupApprovalEntity
fcart_7-0-0,Iteration Report,Iteration-specific modification approval entity,Iteration Details,"",n,y,authority,person/local; organization/local,iterationreport,modificationApprovalEntity
fcart_7-0-0,Iteration Report,Further installation detail approval entity,Iteration Details,"",n,y,authority,person/local; organization/local,iterationreport,installationApprovalEntity
fcart_7-0-0,Iteration Report,Security approval entity,Iteration Details,"",n,y,authority,person/local; organization/local,iterationreport,securityApprovalEntity
fcart_7-0-0,Loan In,Lender name,Loan In Information,"",n,y,authority,person/local; organization/local,loanin,lender
fcart_7-0-0,Storage Location,Term source name,Storage Location Information,Source,n,y,authority,citation/local; citation/worldcat,location,termSource
fcart_7-0-0,Media Handling,Measured by,Media Handling Information,"",n,y,authority,person/local; organization/local,media,measuredBy
fcart_7-0-0,Organization,Term source name,Organization Information,Source,n,y,authority,citation/local; citation/worldcat,organization,termSource
fcart_7-0-0,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/worldcat,person,termSource
fcart_7-0-0,Person,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,person,assocPerson
fcart_7-0-0,Person,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPersonCitation
fcart_7-0-0,Person,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPeopleCitation
fcart_7-0-0,Person,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,person,assocOrganization
fcart_7-0-0,Person,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocOrganizationCitation
fcart_7-0-0,Person,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion,person,assocConcept
fcart_7-0-0,Person,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocConceptCitation
fcart_7-0-0,Person,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,person,assocPlace
fcart_7-0-0,Person,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPlaceCitation
fcart_7-0-0,Person,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event,person,assocChronology
fcart_7-0-0,Person,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocChronologyCitation
fcart_7-0-0,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/worldcat,place,termSource
fcart_7-0-0,Place,Owner,Place Information,"",n,y,authority,person/local; organization/local,place,owner
fcart_7-0-0,Place,Address municipality,Place Information,"",n,y,authority,place/local; place/tgn,place,addressMunicipality
fcart_7-0-0,Place,Address state/province,Place Information,"",n,y,authority,place/local; place/tgn,place,addressStateOrProvince
fcart_7-0-0,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
fcart_7-0-0,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
fcart_7-0-0,Place,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,place,assocPerson
fcart_7-0-0,Place,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPersonCitation
fcart_7-0-0,Place,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPeopleCitation
fcart_7-0-0,Place,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,place,assocOrganization
fcart_7-0-0,Place,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocOrganizationCitation
fcart_7-0-0,Place,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion,place,assocConcept
fcart_7-0-0,Place,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocConceptCitation
fcart_7-0-0,Place,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,place,assocPlace
fcart_7-0-0,Place,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPlaceCitation
fcart_7-0-0,Place,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event,place,assocChronology
fcart_7-0-0,Place,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocChronologyCitation
fcart_7-0-0,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
fcart_7-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
fcart_7-0-0,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
fcart_7-0-0,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,authorizedBy
fcart_7-0-0,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
fcart_7-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
fcart_7-0-0,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
fcart_7-0-0,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
fcart_7-0-0,Work,Publisher name,Work Information,"",n,y,authority,person/local; organization/local,work,publisher
fcart_7-0-0,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/tgn,work,addressMunicipality
fcart_7-0-0,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/tgn,work,addressStateOrProvince
fcart_7-0-0,Work,Address country,Work Information,"",n,y,authority,place/local; place/tgn,work,addressCountry
