profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
publicart_5-0-0,chronology,Chronology Information,Term > Source,Term source note,chronologyTermGroupList > chronologyTermGroup,termSourceNote,string,n,n,y,"",""
publicart_5-0-0,chronology,Chronology Information,"",Primary date range,"",chronologyDateStructuredDateGroup,structured date group,n,n,n/a,"",""
publicart_5-0-0,chronology,Chronology Information,"",Chronology type,"",chronologyType,string,n,n,n/a,vocabulary: chronologytypes,""
publicart_5-0-0,chronology,Chronology Information,Spatial coverage,"",chronologyPlaces,chronologyPlace,string,n,y,n,authority: place/local,""
publicart_5-0-0,chronology,Chronology Information,"",Chronology description,"",chronologyDescription,string,n,n,n/a,"",""
publicart_5-0-0,chronology,Chronology Information,"",Chronology note,"",chronologyNote,string,n,n,n/a,"",""
publicart_5-0-0,chronology,Chronology Information,Resource identifier,Resource identifier value,identifierGroupList > identifierGroup,identifierValue,string,n,n,y,"",""
publicart_5-0-0,chronology,Chronology Information,Resource identifier,Resource identifier citation,identifierGroupList > identifierGroup,identifierCitation,string,n,n,y,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Chronology Information,Resource identifier,Resource identifier date,identifierGroupList > identifierGroup,identifierDate,date,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Person,Person associated,personGroupList > personGroup,person,string,n,n,y,authority: person/local,""
publicart_5-0-0,chronology,Associated Authorities,Person,Person relationship/type,personGroupList > personGroup,personType,string,n,n,y,vocabulary: chronologypersonrelations,""
publicart_5-0-0,chronology,Associated Authorities,Person,Person date,personGroupList > personGroup,personStructuredDateGroup,structured date group,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Person,Person citation,personGroupList > personGroup > personCitations,personCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Associated Authorities,Person,Person note,personGroupList > personGroup,personNote,string,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,People,People associated,peopleGroupList > peopleGroup,people,string,n,n,y,authority: concept/associated,""
