profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Place represented name,geographicPlace,ns2:repatriationrequests_common.geographicPlace,geographicPlacePlaceLocal; geographicPlaceRefname,string,n,n,y,authority; refname,place/local; authority refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Place represented note,geographicPlaceNote,ns2:repatriationrequests_common.geographicPlaceNote,geographicPlaceNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Cultural group name,culture,ns2:repatriationrequests_common.culture,cultureConceptEthculture; cultureConceptArchculture; cultureRefname,string,n,n,y,authority; refname,concept/ethculture; concept/archculture; authority refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Cultural group note,cultureNote,ns2:repatriationrequests_common.cultureNote,cultureNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Time period era,timePeriod,ns2:repatriationrequests_common.timePeriod,timePeriod,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Time period note,timePeriodNote,ns2:repatriationrequests_common.timePeriodNote,timePeriodNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Archaeological site name,archaeologicalSite,ns2:repatriationrequests_common.archaeologicalSite,archaeologicalSite,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Archaeological site note,archaeologicalSiteNote,ns2:repatriationrequests_common.archaeologicalSiteNote,archaeologicalSiteNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Status,"",Repatriation request status group,statusGroupType,ns2:repatriationrequests_common.statusGroupType,statusGroupType; statusGroupTypeRefname,string,n,n,y,vocabulary; refname,deaccessionapprovalgroup; vocabulary refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Status,"",Repatriation request status individual,statusIndividual,ns2:repatriationrequests_common.statusIndividual,statusIndividualPersonLocal; statusIndividualRefname,string,n,n,y,authority; refname,person/local; authority refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Status,Repatriation Request Status,Repatriation request status,status,ns2:repatriationrequests_common.status,status; statusRefname,string,n,n,y,vocabulary; refname,deaccessionapprovalstatus; vocabulary refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Status,"",Repatriation request status date,statusDate,ns2:repatriationrequests_common.statusDate,statusDate,date,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Status,"",Repatriation request status note,statusNote,ns2:repatriationrequests_common.statusNote,statusNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Documentation Status,"",Repatriation request documentation status group,documentationGroupType,ns2:repatriationrequests_common.documentationGroupType,documentationGroupType; documentationGroupTypeRefname,string,n,n,y,vocabulary; refname,documentationgroup; vocabulary refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Documentation Status,"",Repatriation request documentation status individual,documentationIndividual,ns2:repatriationrequests_common.documentationIndividual,documentationIndividualPersonLocal; documentationIndividualRefname,string,n,n,y,authority; refname,person/local; authority refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Documentation Status,"",Repatriation request documentation status,documentationStatus,ns2:repatriationrequests_common.documentationStatus,documentationStatus; documentationStatusRefname,string,n,n,y,vocabulary; refname,nagpradocumentationstatus; vocabulary refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Documentation Status,"",Repatriation request documentation status date,documentationDate,ns2:repatriationrequests_common.documentationDate,documentationDate,date,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Documentation Status,"",Repatriation request documentation status note,documentationNote,ns2:repatriationrequests_common.documentationNote,documentationNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Identification number,objectNumber,ns2:collectionobjects_common.objectNumber,objectNumber,string,y,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Scientific name,taxon,ns2:collectionobjects_bonsai.taxon,taxonTaxonLocal; taxonTaxonCommon; taxonRefname,string,n,n,n/a,authority; refname,taxon/local; taxon/common; authority refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Common name,commonName,ns2:collectionobjects_bonsai.commonName,commonName,string,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Japanese name,japaneseName,ns2:collectionobjects_bonsai.japaneseName,japaneseName,string,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Native species?,nativeSpecies,ns2:collectionobjects_bonsai.nativeSpecies,nativeSpecies,boolean,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Collection,collection,ns2:collectionobjects_common.collection,collection,string,n,n,n/a,option list,collections,"development, display, library-collection, permanent-collection, study-collection, teaching-collection"
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Named collection,namedCollection,ns2:collectionobjects_common.namedCollection,namedCollectionWorkLocal; namedCollectionRefname,string,n,y,n,authority; refname,work/local; authority refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Record status,recordStatus,ns2:collectionobjects_common.recordStatus,recordStatus,string,n,n,n/a,option list,recordStatuses,"approved, in-process, new, temporary"
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Sponsor,sponsor,ns2:collectionobjects_bonsai.sponsor,sponsor,string,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Sponsor start date,sponsorStartDate,ns2:collectionobjects_bonsai.sponsorStartDate,sponsorStartDate,date,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Sponsor end date,sponsorEndDate,ns2:collectionobjects_bonsai.sponsorEndDate,sponsorEndDate,date,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Publish to,publishTo,ns2:collectionobjects_common.publishTo,publishTo; publishToRefname,string,n,y,n,vocabulary; refname,publishto; vocabulary refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Inventory status,inventoryStatus,ns2:collectionobjects_common.inventoryStatus,inventoryStatus; inventoryStatusRefname,string,n,y,n,vocabulary; refname,inventorystatus; vocabulary refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Brief description,briefDescription,ns2:collectionobjects_common.briefDescription,briefDescription,string,n,y,n,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Distinguishing features,distinguishingFeatures,ns2:collectionobjects_common.distinguishingFeatures,distinguishingFeatures,string,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Comment,comment,ns2:collectionobjects_common.comment,comment,string,n,y,n,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Assigned volunteer,assignedVolunteer,ns2:collectionobjects_bonsai.assignedVolunteer,assignedVolunteerPersonLocal; assignedVolunteerPersonUlan; assignedVolunteerRefname,string,n,y,n,authority; refname,person/local; person/ulan; authority refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Computed current location,computedCurrentLocation,ns2:collectionobjects_common.computedCurrentLocation,computedCurrentLocationLocationLocal; computedCurrentLocationLocationOffsite; computedCurrentLocationOrganizationLocal; computedCurrentLocationRefname,string,n,n,n/a,authority; refname,location/local; location/offsite; organization/local; authority refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Annotation type,annotationType,ns2:collectionobjects_annotation.annotationType,annotationType; annotationTypeRefname,string,n,n,y,vocabulary; refname,annotationtype; vocabulary refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Annotation date,annotationDate,ns2:collectionobjects_annotation.annotationDate,annotationDate,date,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Annotation author,annotationAuthor,ns2:collectionobjects_annotation.annotationAuthor,annotationAuthorPersonLocal; annotationAuthorRefname,string,n,n,y,authority; refname,person/local; authority refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Annotation note,annotationNote,ns2:collectionobjects_annotation.annotationNote,annotationNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Title,title,ns2:collectionobjects_common.title,title,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Title language,titleLanguage,ns2:collectionobjects_common.titleLanguage,titleLanguage; titleLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Title type,titleType,ns2:collectionobjects_common.titleType,titleType,string,n,n,y,option list,titleTypes,"assigned-by-artist, collection, generic, popular, series, trade"
bonsai_7-0-0-a2ede77,Object,collectionobject,Object Identification Information,"",Title translation,titleTranslation,ns2:collectionobjects_common.titleTranslation,titleTranslation,string,n,n,y,"","",""
