profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
herbarium_2-0-5,chronology,Associated Authorities,Place,multiple msg matches: chronologies_common.placeNote,placeGroupList > placeGroup,placeNote,string,n,n,y,"",""
herbarium_2-0-5,chronology,Associated Authorities,Related period,Related period associated,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriod,string,n,n,y,authority: chronology/era; authority: chronology/event; authority: chronology/fieldcollection,""
herbarium_2-0-5,chronology,Associated Authorities,Related period,Related period relationship/type,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodType,string,n,n,y,vocabulary: chronologyrelations,""
herbarium_2-0-5,chronology,Associated Authorities,Related period,Related period date,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodStructuredDateGroup,structured date group,n,n,y,"",""
herbarium_2-0-5,chronology,Associated Authorities,Related period,Related period citation,relatedPeriodGroupList > relatedPeriodGroup > relatedPeriodCitations,relatedPeriodCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
herbarium_2-0-5,chronology,Associated Authorities,Related period,Related period note,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodNote,string,n,n,y,"",""
herbarium_2-0-5,chronology,Alternative Date Information,Alternative date,Alternative date range,otherDateGroupList > otherDateGroup,otherDateStructuredDateGroup,structured date group,n,n,y,"",""
herbarium_2-0-5,chronology,Alternative Date Information,Alternative date,Alternative date spacial coverage,otherDateGroupList > otherDateGroup > otherDatePlaces,otherDatePlace,string,n,y,as part of larger repeating group,authority: place/local; authority: place/tgn,""
herbarium_2-0-5,chronology,Alternative Date Information,Alternative date,Alternative date citation,otherDateGroupList > otherDateGroup > otherDateCitations,otherDateCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
herbarium_2-0-5,chronology,Alternative Date Information,Alternative date,Alternative date note,otherDateGroupList > otherDateGroup,otherDateNote,string,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Identification number,"",objectNumber,string,y,n,n/a,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Collection,"",collection,string,n,n,n/a,option list: collections,"library-collection, permanent-collection, study-collection, teaching-collection"
herbarium_2-0-5,collectionobject,Object Identification Information,"",Named collection,namedCollections,namedCollection,string,n,y,n,authority: work/local,""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification scientific name,determinationHistoryGroupList > determinationHistoryGroup,determinationTaxon,string,n,n,y,authority: taxon/local,""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification qualifier,determinationHistoryGroupList > determinationHistoryGroup,determinationQualifier,string,n,n,y,vocabulary: taxonqualifier,""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history > Identification by,Taxonomic identification by,determinationHistoryGroupList > determinationHistoryGroup,determinationBy,string,n,n,y,authority: person/local,""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history > Identification by,Taxonomic identification date,determinationHistoryGroupList > determinationHistoryGroup,determinationDateGroup,structured date group,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history > Identification by,Taxonomic identification institution,determinationHistoryGroupList > determinationHistoryGroup,determinationInstitution,string,n,n,y,authority: organization/local,""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history,Taxonomic identification kind,determinationHistoryGroupList > determinationHistoryGroup,determinationKind,string,n,n,y,vocabulary: taxonkind,""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history > Reference,Taxonomic identification reference source,determinationHistoryGroupList > determinationHistoryGroup,determinationReference,string,n,n,y,"",""
