fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
botgarden transport ns2:transports_common customsFeeCurrency,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.customsFeeCurrency,Cost Information,Customs fee,Customs fee currency,"",customsFeeCurrency,string,n,n,n/a,vocabulary,currency,""
botgarden transport ns2:transports_common customsFeeValue,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.customsFeeValue,Cost Information,Customs fee,Customs fee value,"",customsFeeValue,float,n,n,n/a,"","",""
botgarden transport ns2:transports_common customsFeeNote,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.customsFeeNote,Cost Information,Customs fee,Customs fee note,"",customsFeeNote,string,n,n,n/a,"","",""
botgarden transport ns2:transports_common additionalCostsType,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.additionalCostsType,Cost Information,"",Additional cost type,additionalCostsGroupList > additionalCostsGroup,additionalCostsType,string,n,n,y,vocabulary,transportadditionalcosttype,""
botgarden transport ns2:transports_common additionalCostsCurrency,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.additionalCostsCurrency,Cost Information,"",Additional cost currency,additionalCostsGroupList > additionalCostsGroup,additionalCostsCurrency,string,n,n,y,vocabulary,currency,""
botgarden transport ns2:transports_common additionalCostsValue,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.additionalCostsValue,Cost Information,"",Additional cost value,additionalCostsGroupList > additionalCostsGroup,additionalCostsValue,float,n,n,y,"","",""
botgarden transport ns2:transports_common shippingQuoteProvider,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.shippingQuoteProvider,Cost Information,"",Shipping quote provider,shippingQuoteGroupList > shippingQuoteGroup,shippingQuoteProvider,string,n,n,y,authority,person/local; organization/local,""
botgarden transport ns2:transports_common shippingQuoteCurrency,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.shippingQuoteCurrency,Cost Information,"",Shipping quote currency,shippingQuoteGroupList > shippingQuoteGroup,shippingQuoteCurrency,string,n,n,y,vocabulary,currency,""
botgarden transport ns2:transports_common shippingQuoteValue,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.shippingQuoteValue,Cost Information,"",Shipping quote value,shippingQuoteGroupList > shippingQuoteGroup,shippingQuoteValue,float,n,n,y,"","",""
botgarden transport ns2:transports_common shippingQuoteDate,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.shippingQuoteDate,Cost Information,"",Shipping quote date,shippingQuoteGroupList > shippingQuoteGroup,shippingQuoteDate,date,n,n,y,"","",""
botgarden uoc ns2:uoc_common referenceNumber,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.referenceNumber,Use of Collections Information,"",Reference number,"",referenceNumber,string,y,n,n/a,"","",""
botgarden uoc ns2:uoc_common method,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.method,Use of Collections Information,"",Method,methodList,method,string,n,y,n,vocabulary,uocmethods,""
botgarden uoc ns2:uoc_common collectionType,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.collectionType,Use of Collections Information,"",Collection type,collectionTypeList,collectionType,string,n,y,n,vocabulary,uoccollectiontypes,""
botgarden uoc ns2:uoc_common projectId,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.projectId,Use of Collections Information,"",Project ID,"",projectId,string,n,n,n/a,vocabulary,uocprojectid,""
botgarden uoc ns2:uoc_common subcollection,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.subcollection,Use of Collections Information,"",Subcollection,"",subcollection,string,n,n,n/a,vocabulary,uocsubcollections,""
botgarden uoc ns2:uoc_common materialType,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.materialType,Use of Collections Information,"",Material type,materialTypeList,materialType,string,n,y,n,vocabulary,uocmaterialtypes,""
botgarden uoc ns2:uoc_common user,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.user,Use of Collections Information,"",User name,userGroupList > userGroup,user,string,n,n,y,authority,person/local; organization/local,""
botgarden uoc ns2:uoc_common userUocRole,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.userUocRole,Use of Collections Information,"",User role,userGroupList > userGroup,userUocRole,string,n,n,y,vocabulary,uocuserroles,""
botgarden uoc ns2:uoc_common userInstitution,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.userInstitution,Use of Collections Information,"",User institution,userGroupList > userGroup,userInstitution,string,n,n,y,authority,organization/local,""
botgarden uoc ns2:uoc_common userInstitutionRole,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.userInstitutionRole,Use of Collections Information,"",User institution role,userGroupList > userGroup,userInstitutionRole,string,n,n,y,vocabulary,uocusertypes,""
botgarden uoc ns2:uoc_common title,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.title,Use of Collections Information,"",Title,"",title,string,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common dateRequested,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.dateRequested,Use of Collections Information,"",Date requested,"",dateRequested,date,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common dateCompleted,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.dateCompleted,Use of Collections Information,"",Date completed,"",dateCompleted,date,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common occasion,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.occasion,Use of Collections Information,"",Occasion,occasionList,occasion,string,n,y,n,authority,concept/occasion,""
botgarden uoc ns2:uoc_common projectDescription,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.projectDescription,Use of Collections Information,"",Project description,"",projectDescription,string,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common authorizedBy,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.authorizedBy,Use of Collections Information,"",Authorized by,authorizationGroupList > authorizationGroup,authorizedBy,string,n,n,y,authority,person/local; organization/local,""
botgarden uoc ns2:uoc_common authorizationDate,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.authorizationDate,Use of Collections Information,"",Authorization date,authorizationGroupList > authorizationGroup,authorizationDate,date,n,n,y,"","",""
botgarden uoc ns2:uoc_common authorizationStatus,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.authorizationStatus,Use of Collections Information,"",Authorization status,authorizationGroupList > authorizationGroup,authorizationStatus,string,n,n,y,vocabulary,uocauthorizationstatuses,""
botgarden uoc ns2:uoc_common authorizationNote,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.authorizationNote,Use of Collections Information,"",Authorization note,authorizationGroupList > authorizationGroup,authorizationNote,string,n,n,y,"","",""
botgarden uoc ns2:uoc_common useDate,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.useDate,Use of Collections Information,"",Start/ongoing date,useDateGroupList > useDateGroup,useDate,date,n,n,y,"","",""
botgarden uoc ns2:uoc_common useDateTimeNote,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.useDateTimeNote,Use of Collections Information,"",Start/ongoing date time note,useDateGroupList > useDateGroup,useDateTimeNote,string,n,n,y,"","",""
botgarden uoc ns2:uoc_common useDateNumberOfVisitors,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.useDateNumberOfVisitors,Use of Collections Information,"",Start/ongoing date no. of visitors,useDateGroupList > useDateGroup,useDateNumberOfVisitors,integer,n,n,y,"","",""
botgarden uoc ns2:uoc_common useDateHoursSpent,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.useDateHoursSpent,Use of Collections Information,"",Start/ongoing date hours spent,useDateGroupList > useDateGroup,useDateHoursSpent,float,n,n,y,"","",""
