profile,id,label
core_10-0-0-fd57a64,repatriationrequest.geographicPlace,Repatriation Request Context > Place represented name
core_10-0-0-fd57a64,repatriationrequest.geographicPlaceNote,Repatriation Request Context > Place represented note
core_10-0-0-fd57a64,repatriationrequest.culture,Repatriation Request Context > Cultural group name
core_10-0-0-fd57a64,repatriationrequest.cultureNote,Repatriation Request Context > Cultural group note
core_10-0-0-fd57a64,repatriationrequest.timePeriod,Repatriation Request Context > Time period era
core_10-0-0-fd57a64,repatriationrequest.timePeriodNote,Repatriation Request Context > Time period note
core_10-0-0-fd57a64,repatriationrequest.archaeologicalSite,Repatriation Request Context > Archaeological site name
core_10-0-0-fd57a64,repatriationrequest.archaeologicalSiteNote,Repatriation Request Context > Archaeological site note
core_10-0-0-fd57a64,repatriationrequest.statusGroupType,Repatriation Request Status > Repatriation request status group
core_10-0-0-fd57a64,repatriationrequest.statusIndividual,Repatriation Request Status > Repatriation request status individual
core_10-0-0-fd57a64,repatriationrequest.status,Repatriation Request Status > Repatriation Request Status > Repatriation request status
core_10-0-0-fd57a64,repatriationrequest.statusDate,Repatriation Request Status > Repatriation request status date
core_10-0-0-fd57a64,repatriationrequest.statusNote,Repatriation Request Status > Repatriation request status note
core_10-0-0-fd57a64,repatriationrequest.documentationGroupType,Repatriation Request Documentation Status > Repatriation request documentation status group
core_10-0-0-fd57a64,repatriationrequest.documentationIndividual,Repatriation Request Documentation Status > Repatriation request documentation status individual
core_10-0-0-fd57a64,repatriationrequest.documentationStatus,Repatriation Request Documentation Status > Repatriation request documentation status
core_10-0-0-fd57a64,repatriationrequest.documentationDate,Repatriation Request Documentation Status > Repatriation request documentation status date
core_10-0-0-fd57a64,repatriationrequest.documentationNote,Repatriation Request Documentation Status > Repatriation request documentation status note
core_10-0-0-fd57a64,collectionobject.objectNumber,Object Identification Information > Identification number
core_10-0-0-fd57a64,collectionobject.numberValue,Object Identification Information > Other number value
core_10-0-0-fd57a64,collectionobject.numberType,Object Identification Information > Other number type
core_10-0-0-fd57a64,collectionobject.responsibleDepartment,Object Identification Information > Responsible department
core_10-0-0-fd57a64,collectionobject.collection,Object Identification Information > Collection
core_10-0-0-fd57a64,collectionobject.namedCollection,Object Identification Information > Named collection
core_10-0-0-fd57a64,collectionobject.descriptionLevel,Object Identification Information > Description level
core_10-0-0-fd57a64,collectionobject.recordStatus,Object Identification Information > Record status
core_10-0-0-fd57a64,collectionobject.publishTo,Object Identification Information > Publish to
core_10-0-0-fd57a64,collectionobject.inventoryStatus,Object Identification Information > Inventory status
core_10-0-0-fd57a64,collectionobject.briefDescription,Object Identification Information > Brief description
core_10-0-0-fd57a64,collectionobject.distinguishingFeatures,Object Identification Information > Distinguishing features
core_10-0-0-fd57a64,collectionobject.comment,Object Identification Information > Comment
