profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
bonsai_6-0-0,Object,Sponsor end date,Object Identification Information,"",date,n,n,n/a,"","","",collectionobject,sponsorEndDate
bonsai_6-0-0,Object,Publish to,Object Identification Information,"",string,n,y,n,vocabulary,publishto,"",collectionobject,publishTo
bonsai_6-0-0,Object,Inventory status,Object Identification Information,"",string,n,y,n,vocabulary,inventorystatus,"",collectionobject,inventoryStatus
bonsai_6-0-0,Object,Brief description,Object Identification Information,"",string,n,y,n,"","","",collectionobject,briefDescription
bonsai_6-0-0,Object,Distinguishing features,Object Identification Information,"",string,n,n,n/a,"","","",collectionobject,distinguishingFeatures
bonsai_6-0-0,Object,Comment,Object Identification Information,"",string,n,y,n,"","","",collectionobject,comment
bonsai_6-0-0,Object,Assigned volunteer,Object Identification Information,"",string,n,y,n,authority,person/local; person/ulan,"",collectionobject,assignedVolunteer
bonsai_6-0-0,Object,Computed current location,Object Identification Information,"",string,n,n,n/a,authority,location/local; location/offsite; organization/local,"",collectionobject,computedCurrentLocation
bonsai_6-0-0,Object,Annotation type,Object Identification Information,"",string,n,n,y,vocabulary,annotationtype,"",collectionobject,annotationType
bonsai_6-0-0,Object,Annotation date,Object Identification Information,"",date,n,n,y,"","","",collectionobject,annotationDate
bonsai_6-0-0,Object,Annotation author,Object Identification Information,"",string,n,n,y,authority,person/local,"",collectionobject,annotationAuthor
bonsai_6-0-0,Object,Annotation note,Object Identification Information,"",string,n,n,y,"","","",collectionobject,annotationNote
bonsai_6-0-0,Object,Title,Object Identification Information,"",string,n,n,y,"","","",collectionobject,title
bonsai_6-0-0,Object,Title language,Object Identification Information,"",string,n,n,y,vocabulary,languages,"",collectionobject,titleLanguage
bonsai_6-0-0,Object,Title type,Object Identification Information,"",string,n,n,y,option list,titleTypes,"assigned-by-artist, collection, generic, popular, series, trade",collectionobject,titleType
bonsai_6-0-0,Object,Title translation,Object Identification Information,"",string,n,n,y,"","","",collectionobject,titleTranslation
bonsai_6-0-0,Object,Title translation language,Object Identification Information,"",string,n,n,y,vocabulary,languages,"",collectionobject,titleTranslationLanguage
bonsai_6-0-0,Object,Copy number,Object Description Information,"",string,n,n,n/a,"","","",collectionobject,copyNumber
bonsai_6-0-0,Object,Pot style,Object Description Information,"",string,n,n,n/a,vocabulary,potstyle,"",collectionobject,potStyle
bonsai_6-0-0,Object,Tree type,Object Description Information,"",string,n,n,n/a,vocabulary,treetype,"",collectionobject,treeType
bonsai_6-0-0,Object,Physical description,Object Description Information,"",string,n,n,n/a,"","","",collectionobject,physicalDescription
bonsai_6-0-0,Object,Color,Object Description Information,"",string,n,y,n,"","","",collectionobject,color
bonsai_6-0-0,Object,Measured part,Object Description Information,"",string,n,n,y,option list,measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed",collectionobject,measuredPart
bonsai_6-0-0,Object,Dimension summary,Object Description Information,"",string,n,n,y,"","","",collectionobject,dimensionSummary
bonsai_6-0-0,Object,Measurement dimension,Object Description Information,"",string,n,n,y,option list,dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width",collectionobject,dimension
bonsai_6-0-0,Object,Measured by,Object Description Information,"",string,n,n,y,authority,person/local; organization/local,"",collectionobject,measuredBy
bonsai_6-0-0,Object,Measurement method,Object Description Information,"",string,n,n,y,option list,measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station",collectionobject,measurementMethod
bonsai_6-0-0,Object,Measurement value,Object Description Information,"",float,n,n,y,"","","",collectionobject,value
