profile,id_caps,id_lower,label
core_9_0,repatriationrequest.cultureNote,repatriationrequest.culturenote,Repatriation Request Context > Cultural group note
core_9_0,repatriationrequest.timePeriod,repatriationrequest.timeperiod,Repatriation Request Context > Time period era
core_9_0,repatriationrequest.timePeriodNote,repatriationrequest.timeperiodnote,Repatriation Request Context > Time period note
core_9_0,repatriationrequest.archaeologicalSite,repatriationrequest.archaeologicalsite,Repatriation Request Context > Archaeological site name
core_9_0,repatriationrequest.archaeologicalSiteNote,repatriationrequest.archaeologicalsitenote,Repatriation Request Context > Archaeological site note
core_9_0,repatriationrequest.statusGroupType,repatriationrequest.statusgrouptype,Repatriation Request Status > Repatriation request status group
core_9_0,repatriationrequest.statusIndividual,repatriationrequest.statusindividual,Repatriation Request Status > Repatriation request status individual
core_9_0,repatriationrequest.status,repatriationrequest.status,Repatriation Request Status > Repatriation request status
core_9_0,repatriationrequest.statusDate,repatriationrequest.statusdate,Repatriation Request Status > Repatriation request status date
core_9_0,repatriationrequest.statusNote,repatriationrequest.statusnote,Repatriation Request Status > Repatriation request status note
core_9_0,repatriationrequest.documentationGroupType,repatriationrequest.documentationgrouptype,Repatriation Request Documentation Status > Repatriation request documentation status group
core_9_0,repatriationrequest.documentationIndividual,repatriationrequest.documentationindividual,Repatriation Request Documentation Status > Repatriation request documentation status individual
core_9_0,repatriationrequest.documentationStatus,repatriationrequest.documentationstatus,Repatriation Request Documentation Status > Repatriation request documentation status
core_9_0,repatriationrequest.documentationDate,repatriationrequest.documentationdate,Repatriation Request Documentation Status > Repatriation request documentation status date
core_9_0,repatriationrequest.documentationNote,repatriationrequest.documentationnote,Repatriation Request Documentation Status > Repatriation request documentation status note
core_9_0,collectionobject.objectNumber,collectionobject.objectnumber,Object Identification Information > Identification number
core_9_0,collectionobject.numberValue,collectionobject.numbervalue,Object Identification Information > Other number value
core_9_0,collectionobject.numberType,collectionobject.numbertype,Object Identification Information > Other number type
core_9_0,collectionobject.responsibleDepartment,collectionobject.responsibledepartment,Object Identification Information > Responsible department
core_9_0,collectionobject.collection,collectionobject.collection,Object Identification Information > Collection
core_9_0,collectionobject.namedCollection,collectionobject.namedcollection,Object Identification Information > Named collection
