status,fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
old,bonsai acquisition ns2:acquisitions_common objectPurchasePriceValue,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
new,bonsai acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Price Information,Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,bonsai acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,bonsai acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Price Information,Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",""
old,bonsai acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",""
new,lhmc acquisition ns2:acquisitions_common groupPurchasePriceCurrency,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Price Information,Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,lhmc acquisition ns2:acquisitions_common groupPurchasePriceCurrency,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,lhmc acquisition ns2:acquisitions_common groupPurchasePriceValue,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
old,lhmc acquisition ns2:acquisitions_common groupPurchasePriceValue,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
new,lhmc acquisition ns2:acquisitions_common objectPurchasePriceCurrency,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Price Information,Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,lhmc acquisition ns2:acquisitions_common objectPurchasePriceCurrency,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,lhmc acquisition ns2:acquisitions_common objectPurchasePriceValue,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Price Information,Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
old,lhmc acquisition ns2:acquisitions_common objectPurchasePriceValue,lhmc,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
new,materials acquisition ns2:acquisitions_common groupPurchasePriceCurrency,materials,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Price Information,Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,materials acquisition ns2:acquisitions_common groupPurchasePriceCurrency,materials,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,materials acquisition ns2:acquisitions_common groupPurchasePriceValue,materials,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
