fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestDay,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestDay,Acquisition Information,Accession date,Latest day,accessionDateGroup,dateLatestDay,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestEra,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestEra,Acquisition Information,Accession date,Latest era,accessionDateGroup,dateLatestEra,"",n,n,n,vocabulary,dateera,""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestCertainty,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestCertainty,Acquisition Information,Accession date,Latest certainty,accessionDateGroup,dateLatestCertainty,"",n,n,n,vocabulary,datecertainty,""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestQualifier,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Acquisition Information,Accession date,Latest qualifier,accessionDateGroup,dateLatestQualifier,"",n,n,n,option list,dateQualifiers,", +, +/-, -"
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestQualifierValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierValue,Acquisition Information,Accession date,Latest qualifier value,accessionDateGroup,dateLatestQualifierValue,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestQualifierUnit,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierUnit,Acquisition Information,Accession date,Latest qualifier unit,accessionDateGroup,dateLatestQualifierUnit,"",n,n,n,vocabulary,datequalifier,""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestScalarValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestScalarValue,Acquisition Information,Accession date,Earliest represented date,accessionDateGroup,dateEarliestScalarValue,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestScalarValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestScalarValue,Acquisition Information,Accession date,Latest represented date,accessionDateGroup,dateLatestScalarValue,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate scalarValuesComputed,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.scalarValuesComputed,Acquisition Information,Accession date,Represented dates computed,accessionDateGroup,scalarValuesComputed,"",n,n,n,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateDisplayDate,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateDisplayDate,Acquisition Information,Acquisition date,Display date,acquisitionDateGroupList > acquisitionDateGroup,dateDisplayDate,"",n,n,y,"","",""
