profile,id,label
core_10-0-2,collectionobject.technicalAttribute,Object Description Information > Technical attribute
core_10-0-2,collectionobject.technicalAttributeMeasurement,Object Description Information > Technical attribute measurement
core_10-0-2,collectionobject.technicalAttributeMeasurementUnit,Object Description Information > Technical attribute measurement unit
core_10-0-2,collectionobject.measuredPart,Object Description Information > Measured part
core_10-0-2,collectionobject.dimensionSummary,Object Description Information > Dimension summary
core_10-0-2,collectionobject.dimension,Object Description Information > Measurement dimension
core_10-0-2,collectionobject.measuredBy,Object Description Information > Measured by
core_10-0-2,collectionobject.measurementMethod,Object Description Information > Measurement method
core_10-0-2,collectionobject.value,Object Description Information > Measurement value
core_10-0-2,collectionobject.measurementUnit,Object Description Information > Measurement unit
core_10-0-2,collectionobject.valueQualifier,Object Description Information > Measurement qualifier
core_10-0-2,collectionobject.valueDate,Object Description Information > Measurement date
core_10-0-2,collectionobject.measuredPartNote,Object Description Information > Dimension note
core_10-0-2,collectionobject.contentDescription,Object Description Information > Content > Content description
core_10-0-2,collectionobject.contentLanguage,Object Description Information > Content > Content language
core_10-0-2,collectionobject.contentActivity,Object Description Information > Content > Content activity
core_10-0-2,collectionobject.contentConcept,Object Description Information > Content > Content concept
core_10-0-2,collectionobject.contentDateGroup,Object Description Information > Content > Content date
core_10-0-2,collectionobject.contentPosition,Object Description Information > Content > Content position
core_10-0-2,collectionobject.contentObject,Object Description Information > Content > Content object name
core_10-0-2,collectionobject.contentObjectType,Object Description Information > Content > Content object type
core_10-0-2,collectionobject.contentPeople,Object Description Information > Content > Content people
core_10-0-2,collectionobject.contentPerson,Object Description Information > Content > Content person
core_10-0-2,collectionobject.contentPlace,Object Description Information > Content > Content place
core_10-0-2,collectionobject.contentScript,Object Description Information > Content > Content script
core_10-0-2,collectionobject.contentOrganization,Object Description Information > Content > Content organization
core_10-0-2,collectionobject.contentEventName,Object Description Information > Content > Content event name
core_10-0-2,collectionobject.contentEventNameType,Object Description Information > Content > Content event type
core_10-0-2,collectionobject.contentEvent,Object Description Information > Content > Content controlled event or period/era
core_10-0-2,collectionobject.contentOther,Object Description Information > Content > Content other name
core_10-0-2,collectionobject.contentOtherType,Object Description Information > Content > Content other type
core_10-0-2,collectionobject.contentNote,Object Description Information > Content > Content note
core_10-0-2,collectionobject.inscriptionContent,Object Description Information > Textual Inscription > Textual inscription content
core_10-0-2,collectionobject.inscriptionContentInscriber,Object Description Information > Textual Inscription > Textual inscription inscriber
core_10-0-2,collectionobject.inscriptionContentLanguage,Object Description Information > Textual Inscription > Textual inscription language
core_10-0-2,collectionobject.inscriptionContentDateGroup,Object Description Information > Textual Inscription > Textual inscription date
core_10-0-2,collectionobject.inscriptionContentPosition,Object Description Information > Textual Inscription > Textual inscription position
core_10-0-2,collectionobject.inscriptionContentScript,Object Description Information > Textual Inscription > Textual inscription script
core_10-0-2,collectionobject.inscriptionContentType,Object Description Information > Textual Inscription > Textual inscription type
core_10-0-2,collectionobject.inscriptionContentMethod,Object Description Information > Textual Inscription > Textual inscription method
core_10-0-2,collectionobject.inscriptionContentInterpretation,Object Description Information > Textual Inscription > Textual inscription interpretation
core_10-0-2,collectionobject.inscriptionContentTranslation,Object Description Information > Textual Inscription > Textual inscription translation
core_10-0-2,collectionobject.inscriptionContentTransliteration,Object Description Information > Textual Inscription > Textual inscription transliteration
core_10-0-2,collectionobject.inscriptionDescription,Object Description Information > Non-Textual Inscription > Non-textual inscription description
core_10-0-2,collectionobject.inscriptionDescriptionInscriber,Object Description Information > Non-Textual Inscription > Non-textual inscription inscriber
core_10-0-2,collectionobject.inscriptionDescriptionDateGroup,Object Description Information > Non-Textual Inscription > Non-textual inscription date
core_10-0-2,collectionobject.inscriptionDescriptionPosition,Object Description Information > Non-Textual Inscription > Non-textual inscription position
core_10-0-2,collectionobject.inscriptionDescriptionType,Object Description Information > Non-Textual Inscription > Non-textual inscription type
core_10-0-2,collectionobject.inscriptionDescriptionMethod,Object Description Information > Non-Textual Inscription > Non-textual inscription method
core_10-0-2,collectionobject.inscriptionDescriptionInterpretation,Object Description Information > Non-Textual Inscription > Non-textual inscription interpretation
core_10-0-2,collectionobject.objectProductionDateGroup,Object Production Information > Production date
core_10-0-2,collectionobject.objectProductionEra,Object Production Information > Production era
core_10-0-2,collectionobject.technique,Object Production Information > Production technique
core_10-0-2,collectionobject.techniqueType,Object Production Information > Production technique type
core_10-0-2,collectionobject.objectProductionPlace,Object Production Information > Production place
core_10-0-2,collectionobject.objectProductionPlaceRole,Object Production Information > Production place role
core_10-0-2,collectionobject.objectProductionReason,Object Production Information > Production reason
core_10-0-2,collectionobject.objectProductionPeople,Object Production Information > Production people
core_10-0-2,collectionobject.objectProductionPeopleRole,Object Production Information > Production people role
core_10-0-2,collectionobject.objectProductionPerson,Object Production Information > Production person
core_10-0-2,collectionobject.objectProductionPersonRole,Object Production Information > Production person role
core_10-0-2,collectionobject.objectProductionOrganization,Object Production Information > Production organization
core_10-0-2,collectionobject.objectProductionOrganizationRole,Object Production Information > Production organization role
core_10-0-2,collectionobject.objectProductionNote,Object Production Information > Production note
core_10-0-2,collectionobject.assocActivity,Object History and Association Information > Associations > Associated activity
core_10-0-2,collectionobject.assocActivityType,Object History and Association Information > Associations > Associated activity type
core_10-0-2,collectionobject.assocActivityNote,Object History and Association Information > Associations > Associated activity note
core_10-0-2,collectionobject.assocObject,Object History and Association Information > Associations > Associated object
core_10-0-2,collectionobject.assocObjectType,Object History and Association Information > Associations > Associated object type
core_10-0-2,collectionobject.assocObjectNote,Object History and Association Information > Associations > Associated object note
core_10-0-2,collectionobject.assocConcept,Object History and Association Information > Associations > Associated concept
core_10-0-2,collectionobject.assocConceptType,Object History and Association Information > Associations > Associated concept type
core_10-0-2,collectionobject.assocConceptNote,Object History and Association Information > Associations > Associated concept note
core_10-0-2,collectionobject.assocCulturalContext,Object History and Association Information > Associations > Associated cultural affinity
core_10-0-2,collectionobject.assocCulturalContextType,Object History and Association Information > Associations > Associated cultural affinity type
core_10-0-2,collectionobject.assocCulturalContextNote,Object History and Association Information > Associations > Associated cultural affinity note
core_10-0-2,collectionobject.assocOrganization,Object History and Association Information > Associations > Associated organization
core_10-0-2,collectionobject.assocOrganizationType,Object History and Association Information > Associations > Associated organization type
core_10-0-2,collectionobject.assocOrganizationNote,Object History and Association Information > Associations > Associated organization note
core_10-0-2,collectionobject.assocPeople,Object History and Association Information > Associations > Associated people
core_10-0-2,collectionobject.assocPeopleType,Object History and Association Information > Associations > Associated people type
core_10-0-2,collectionobject.assocPeopleNote,Object History and Association Information > Associations > Associated people note
core_10-0-2,collectionobject.assocPerson,Object History and Association Information > Associations > Associated person
core_10-0-2,collectionobject.assocPersonType,Object History and Association Information > Associations > Associated person type
core_10-0-2,collectionobject.assocPersonNote,Object History and Association Information > Associations > Associated person note
core_10-0-2,collectionobject.assocPlace,Object History and Association Information > Associations > Associated place
core_10-0-2,collectionobject.assocPlaceType,Object History and Association Information > Associations > Associated place type
core_10-0-2,collectionobject.assocPlaceNote,Object History and Association Information > Associations > Associated place note
core_10-0-2,collectionobject.assocEventName,Object History and Association Information > Associations > Associated event
core_10-0-2,collectionobject.assocEventNameType,Object History and Association Information > Associations > Associated event > Associated event type
core_10-0-2,collectionobject.assocEvent,Object History and Association Information > Associations > Associated controlled event or period/era
core_10-0-2,collectionobject.assocEventOrganization,Object History and Association Information > Associations > Associated event organization
core_10-0-2,collectionobject.assocEventPeople,Object History and Association Information > Associations > Associated event people
