fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenBasionym,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenBasionym,Object Identification Information,Type specimen,Type specimen verified basionym,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenBasionym,string,n,n,y,authority: taxon/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenNotes,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenNotes,Object Identification Information,Type specimen,Type specimen note,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenNotes,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocVerbatim,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocVerbatim,Locality Information,"",Field collection location verbatim,localityGroupList > localityGroup,fieldLocVerbatim,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocPlace,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocPlace,Locality Information,"",Field collection place,localityGroupList > localityGroup,fieldLocPlace,string,n,n,y,authority: place/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension taxonomicRange,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.taxonomicRange,Locality Information,"",Geographic range of taxon,localityGroupList > localityGroup,taxonomicRange,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocCounty,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocCounty,Locality Information,"",County,localityGroupList > localityGroup,fieldLocCounty,string,n,n,y,vocabulary: county,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocState,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocState,Locality Information,"",State,localityGroupList > localityGroup,fieldLocState,string,n,n,y,vocabulary: state,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocCountry,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocCountry,Locality Information,"",Country,localityGroupList > localityGroup,fieldLocCountry,string,n,n,y,vocabulary: country,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocHigherGeography,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocHigherGeography,Locality Information,"",Higher geography,localityGroupList > localityGroup,fieldLocHigherGeography,string,n,n,y,option list: higherGeographies,"North America, pacificocean",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vLatitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vLatitude,Locality Information,"",Verbatim latitude,localityGroupList > localityGroup,vLatitude,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vLongitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vLongitude,Locality Information,"",Verbatim longitude,localityGroupList > localityGroup,vLongitude,string,n,n,y,"","",not in bonsai_5-0-2
