status,fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
new,core collectionobject ext.dimension measurementMethod,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementMethod,Object Description Information,Dimensions > Measurement,Measurement method,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementMethod,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station"
old,core collectionobject ext.dimension measurementMethod,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementMethod,Object Description Information,"",Measurement method,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementMethod,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station"
new,core collectionobject ext.dimension value,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.value,Object Description Information,Dimensions > Measurement,Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"",""
old,core collectionobject ext.dimension value,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.value,Object Description Information,"",Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"",""
new,core collectionobject ext.dimension measurementUnit,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementUnit,Object Description Information,Dimensions > Measurement,Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
old,core collectionobject ext.dimension measurementUnit,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementUnit,Object Description Information,"",Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
new,core collectionobject ext.dimension valueQualifier,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueQualifier,Object Description Information,Dimensions > Measurement,Measurement qualifier,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueQualifier,string,n,n,y,"",""
old,core collectionobject ext.dimension valueQualifier,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueQualifier,Object Description Information,"",Measurement qualifier,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueQualifier,string,n,n,y,"",""
new,core collectionobject ext.dimension valueDate,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueDate,Object Description Information,Dimensions > Measurement,Measurement date,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueDate,date,n,n,y,"",""
old,core collectionobject ext.dimension valueDate,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueDate,Object Description Information,"",Measurement date,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueDate,date,n,n,y,"",""
new,core collectionobject ext.dimension measuredPartNote,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPartNote,Object Description Information,Dimensions,Dimension note,measuredPartGroupList > measuredPartGroup,measuredPartNote,string,n,n,y,"",""
old,core collectionobject ext.dimension measuredPartNote,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPartNote,Object Description Information,"",Dimension note,measuredPartGroupList > measuredPartGroup,measuredPartNote,string,n,n,y,"",""
new,core collectionobject ns2:collectionobjects_common compressionStandard,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.compressionStandard,Technical Specifications: Audio/Video/Still,File codec,File codec compression standard,fileCodecGroupList > fileCodecGroup,compressionStandard,string,n,n,y,vocabulary: compressionstandards,""
old,core collectionobject ns2:collectionobjects_common compressionStandard,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.compressionStandard,Technical Specifications: Audio/Video/Still,File codec,field.collectionobjects_common.compressionStandard,fileCodecGroupList > fileCodecGroup,compressionStandard,string,n,n,y,vocabulary: compressionstandards,""
new,core collectionobject ns2:collectionobjects_common applicationRequired,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.applicationRequired,Technical Specifications: Software/Web,Interacting application,Interacting application name,applicationInteractionGroupList > applicationInteractionGroup,applicationRequired,string,n,n,y,vocabulary: interactingapplication,""
old,core collectionobject ns2:collectionobjects_common applicationRequired,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.applicationRequired,Technical Specifications: Software/Web,Interacting application,Interacting application name,applicationInteractionGroupList > applicationInteractionGroup,applicationRequired,string,n,n,y,vocabulary: requiredapplication,""
new,core conservation ns2:conservation_common sampleReturned,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.sampleReturned,Object Analysis Information,Destructive analysis,Destructive analysis sample returned,destAnalysisGroupList > destAnalysisGroup,sampleReturned,boolean,n,n,y,"",""
old,core conservation ns2:conservation_common sampleReturned,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.sampleReturned,Object Analysis Information,Destructive analysis,field.conservation_common.sampleReturned,destAnalysisGroupList > destAnalysisGroup,sampleReturned,boolean,n,n,y,"",""
new,core location ns2:locations_common conditionNote,core,location,ns2:locations_common,ns2:locations_common,locations_common.conditionNote,Storage Location Information,Condition note,Condition note,conditionGroupList > conditionGroup,conditionNote,string,n,n,y,"",""
old,core location ns2:locations_common conditionNote,core,location,ns2:locations_common,ns2:locations_common,locations_common.conditionNote,Storage Location Information,"",Condition note,conditionGroupList > conditionGroup,conditionNote,string,n,n,y,"",""
new,core location ns2:locations_common conditionNoteDate,core,location,ns2:locations_common,ns2:locations_common,locations_common.conditionNoteDate,Storage Location Information,Condition note,Condition note date,conditionGroupList > conditionGroup,conditionNoteDate,date,n,n,y,"",""
old,core location ns2:locations_common conditionNoteDate,core,location,ns2:locations_common,ns2:locations_common,locations_common.conditionNoteDate,Storage Location Information,"",Condition note date,conditionGroupList > conditionGroup,conditionNoteDate,date,n,n,y,"",""
new,core media ext.dimension measuredPart,core,media,ns2:media_common,ext.dimension,ext.dimension.measuredPart,Media Handling Information,Dimensions,Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
old,core media ext.dimension measuredPart,core,media,ns2:media_common,ext.dimension,ext.dimension.measuredPart,Media Handling Information,"",Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
new,core media ext.dimension dimensionSummary,core,media,ns2:media_common,ext.dimension,ext.dimension.dimensionSummary,Media Handling Information,Dimensions,Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"",""
old,core media ext.dimension dimensionSummary,core,media,ns2:media_common,ext.dimension,ext.dimension.dimensionSummary,Media Handling Information,"",Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"",""
new,core media ext.dimension dimension,core,media,ns2:media_common,ext.dimension,ext.dimension.dimension,Media Handling Information,Dimensions > Measurement,Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
old,core media ext.dimension dimension,core,media,ns2:media_common,ext.dimension,ext.dimension.dimension,Media Handling Information,"",Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
new,core media ext.dimension measuredBy,core,media,ns2:media_common,ext.dimension,ext.dimension.measuredBy,Media Handling Information,Dimensions > Measurement,Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,string,n,n,y,authority: person/local; authority: organization/local,""
old,core media ext.dimension measuredBy,core,media,ns2:media_common,ext.dimension,ext.dimension.measuredBy,Media Handling Information,"",Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,string,n,n,y,authority: person/local; authority: organization/local,""
new,core media ext.dimension measurementMethod,core,media,ns2:media_common,ext.dimension,ext.dimension.measurementMethod,Media Handling Information,Dimensions > Measurement,Measurement method,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementMethod,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station"
old,core media ext.dimension measurementMethod,core,media,ns2:media_common,ext.dimension,ext.dimension.measurementMethod,Media Handling Information,"",Measurement method,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementMethod,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station"
new,core media ext.dimension value,core,media,ns2:media_common,ext.dimension,ext.dimension.value,Media Handling Information,Dimensions > Measurement,Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"",""
old,core media ext.dimension value,core,media,ns2:media_common,ext.dimension,ext.dimension.value,Media Handling Information,"",Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"",""
new,core media ext.dimension measurementUnit,core,media,ns2:media_common,ext.dimension,ext.dimension.measurementUnit,Media Handling Information,Dimensions > Measurement,Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
old,core media ext.dimension measurementUnit,core,media,ns2:media_common,ext.dimension,ext.dimension.measurementUnit,Media Handling Information,"",Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
new,core media ext.dimension valueQualifier,core,media,ns2:media_common,ext.dimension,ext.dimension.valueQualifier,Media Handling Information,Dimensions > Measurement,Measurement qualifier,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueQualifier,string,n,n,y,"",""
old,core media ext.dimension valueQualifier,core,media,ns2:media_common,ext.dimension,ext.dimension.valueQualifier,Media Handling Information,"",Measurement qualifier,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueQualifier,string,n,n,y,"",""
new,core media ext.dimension valueDate,core,media,ns2:media_common,ext.dimension,ext.dimension.valueDate,Media Handling Information,Dimensions > Measurement,Measurement date,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueDate,date,n,n,y,"",""
old,core media ext.dimension valueDate,core,media,ns2:media_common,ext.dimension,ext.dimension.valueDate,Media Handling Information,"",Measurement date,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueDate,date,n,n,y,"",""
new,core media ext.dimension measuredPartNote,core,media,ns2:media_common,ext.dimension,ext.dimension.measuredPartNote,Media Handling Information,Dimensions,Dimension note,measuredPartGroupList > measuredPartGroup,measuredPartNote,string,n,n,y,"",""
old,core media ext.dimension measuredPartNote,core,media,ns2:media_common,ext.dimension,ext.dimension.measuredPartNote,Media Handling Information,"",Dimension note,measuredPartGroupList > measuredPartGroup,measuredPartNote,string,n,n,y,"",""
new,core media not-mapped mediaFileURI,core,media,not-mapped,not-mapped,not-mapped.mediaFileURI,"","","","",mediaFileURI,string,n,n,n/a,"",""
old,core media not-mapped mediaFileURI,core,media,not-mapped,not-mapped,not-mapped.mediaFileURI,,"",field.not-mapped.mediaFileURI,"",mediaFileURI,string,n,n,n/a,"",""
new,core place ext.address addressPlace1,core,place,ns2:places_common,ext.address,ext.address.addressPlace1,Place Information,Address,Address line 1,addrGroupList > addrGroup,addressPlace1,string,n,n,y,"",""
old,core place ext.address addressPlace1,core,place,ns2:places_common,ext.address,ext.address.addressPlace1,Place Information,"",Address line 1,addrGroupList > addrGroup,addressPlace1,string,n,n,y,"",""
new,core place ext.address addressPlace2,core,place,ns2:places_common,ext.address,ext.address.addressPlace2,Place Information,Address,Address line 2,addrGroupList > addrGroup,addressPlace2,string,n,n,y,"",""
old,core place ext.address addressPlace2,core,place,ns2:places_common,ext.address,ext.address.addressPlace2,Place Information,"",Address line 2,addrGroupList > addrGroup,addressPlace2,string,n,n,y,"",""
new,core place ext.address addressMunicipality,core,place,ns2:places_common,ext.address,ext.address.addressMunicipality,Place Information,Address,Address municipality,addrGroupList > addrGroup,addressMunicipality,string,n,n,y,authority: place/local; authority: place/tgn,""
old,core place ext.address addressMunicipality,core,place,ns2:places_common,ext.address,ext.address.addressMunicipality,Place Information,"",Address municipality,addrGroupList > addrGroup,addressMunicipality,string,n,n,y,authority: place/local; authority: place/tgn,""
new,core place ext.address addressStateOrProvince,core,place,ns2:places_common,ext.address,ext.address.addressStateOrProvince,Place Information,Address,Address state/province,addrGroupList > addrGroup,addressStateOrProvince,string,n,n,y,authority: place/local; authority: place/tgn,""
old,core place ext.address addressStateOrProvince,core,place,ns2:places_common,ext.address,ext.address.addressStateOrProvince,Place Information,"",Address state/province,addrGroupList > addrGroup,addressStateOrProvince,string,n,n,y,authority: place/local; authority: place/tgn,""
new,core place ext.address addressPostCode,core,place,ns2:places_common,ext.address,ext.address.addressPostCode,Place Information,Address,Address postal code,addrGroupList > addrGroup,addressPostCode,string,n,n,y,"",""
old,core place ext.address addressPostCode,core,place,ns2:places_common,ext.address,ext.address.addressPostCode,Place Information,"",Address postal code,addrGroupList > addrGroup,addressPostCode,string,n,n,y,"",""
new,core place ext.address addressCountry,core,place,ns2:places_common,ext.address,ext.address.addressCountry,Place Information,Address,Address country,addrGroupList > addrGroup,addressCountry,string,n,n,y,authority: place/local; authority: place/tgn,""
old,core place ext.address addressCountry,core,place,ns2:places_common,ext.address,ext.address.addressCountry,Place Information,"",Address country,addrGroupList > addrGroup,addressCountry,string,n,n,y,authority: place/local; authority: place/tgn,""
new,core place ext.address addressType,core,place,ns2:places_common,ext.address,ext.address.addressType,Place Information,Address,Address type,addrGroupList > addrGroup,addressType,string,n,n,y,vocabulary: addresstype,""
old,core place ext.address addressType,core,place,ns2:places_common,ext.address,ext.address.addressType,Place Information,"",Address type,addrGroupList > addrGroup,addressType,string,n,n,y,vocabulary: addresstype,""
new,core transport ns2:transports_common courier,core,transport,ns2:transports_common,ns2:transports_common,transports_common.courier,Transport Information,Courier,Courier name,courierGroupList > courierGroup,courier,string,n,n,y,authority: person/local; authority: organization/local,""
old,core transport ns2:transports_common courier,core,transport,ns2:transports_common,ns2:transports_common,transports_common.courier,Transport Information,"",Courier name,courierGroupList > courierGroup,courier,string,n,n,y,authority: person/local; authority: organization/local,""
new,core transport ns2:transports_common courierContactNumber,core,transport,ns2:transports_common,ns2:transports_common,transports_common.courierContactNumber,Transport Information,Courier,Courier contact number,courierGroupList > courierGroup,courierContactNumber,string,n,n,y,"",""
old,core transport ns2:transports_common courierContactNumber,core,transport,ns2:transports_common,ns2:transports_common,transports_common.courierContactNumber,Transport Information,"",Courier contact number,courierGroupList > courierGroup,courierContactNumber,string,n,n,y,"",""
new,core uoc ns2:uoc_common useDateHoursSpent,core,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.useDateHoursSpent,Use of Collections Information,Start/ongoing date,Start/ongoing date hours spent,useDateGroupList > useDateGroup,useDateHoursSpent,float,n,n,y,"",""
old,core uoc ns2:uoc_common useDateHoursSpent,core,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.useDateHoursSpent,Use of Collections Information,Start/ongoing date,field.uoc_common.useDateHoursSpent,useDateGroupList > useDateGroup,useDateHoursSpent,float,n,n,y,"",""
new,core work ext.address addressPlace1,core,work,ns2:works_common,ext.address,ext.address.addressPlace1,Work Information,Address,Address line 1,addrGroupList > addrGroup,addressPlace1,string,n,n,y,"",""
old,core work ext.address addressPlace1,core,work,ns2:works_common,ext.address,ext.address.addressPlace1,Work Information,"",Address line 1,addrGroupList > addrGroup,addressPlace1,string,n,n,y,"",""
new,core work ext.address addressPlace2,core,work,ns2:works_common,ext.address,ext.address.addressPlace2,Work Information,Address,Address line 2,addrGroupList > addrGroup,addressPlace2,string,n,n,y,"",""
old,core work ext.address addressPlace2,core,work,ns2:works_common,ext.address,ext.address.addressPlace2,Work Information,"",Address line 2,addrGroupList > addrGroup,addressPlace2,string,n,n,y,"",""
new,core work ext.address addressMunicipality,core,work,ns2:works_common,ext.address,ext.address.addressMunicipality,Work Information,Address,Address municipality,addrGroupList > addrGroup,addressMunicipality,string,n,n,y,authority: place/local; authority: place/tgn,""
old,core work ext.address addressMunicipality,core,work,ns2:works_common,ext.address,ext.address.addressMunicipality,Work Information,"",Address municipality,addrGroupList > addrGroup,addressMunicipality,string,n,n,y,authority: place/local; authority: place/tgn,""
new,core work ext.address addressStateOrProvince,core,work,ns2:works_common,ext.address,ext.address.addressStateOrProvince,Work Information,Address,Address state/province,addrGroupList > addrGroup,addressStateOrProvince,string,n,n,y,authority: place/local; authority: place/tgn,""
old,core work ext.address addressStateOrProvince,core,work,ns2:works_common,ext.address,ext.address.addressStateOrProvince,Work Information,"",Address state/province,addrGroupList > addrGroup,addressStateOrProvince,string,n,n,y,authority: place/local; authority: place/tgn,""
new,core work ext.address addressPostCode,core,work,ns2:works_common,ext.address,ext.address.addressPostCode,Work Information,Address,Address postal code,addrGroupList > addrGroup,addressPostCode,string,n,n,y,"",""
old,core work ext.address addressPostCode,core,work,ns2:works_common,ext.address,ext.address.addressPostCode,Work Information,"",Address postal code,addrGroupList > addrGroup,addressPostCode,string,n,n,y,"",""
new,core work ext.address addressCountry,core,work,ns2:works_common,ext.address,ext.address.addressCountry,Work Information,Address,Address country,addrGroupList > addrGroup,addressCountry,string,n,n,y,authority: place/local; authority: place/tgn,""
old,core work ext.address addressCountry,core,work,ns2:works_common,ext.address,ext.address.addressCountry,Work Information,"",Address country,addrGroupList > addrGroup,addressCountry,string,n,n,y,authority: place/local; authority: place/tgn,""
new,core work ext.address addressType,core,work,ns2:works_common,ext.address,ext.address.addressType,Work Information,Address,Address type,addrGroupList > addrGroup,addressType,string,n,n,y,vocabulary: addresstype,""
old,core work ext.address addressType,core,work,ns2:works_common,ext.address,ext.address.addressType,Work Information,"",Address type,addrGroupList > addrGroup,addressType,string,n,n,y,vocabulary: addresstype,""
new,publicart acquisition ext.commission commissionBudgetType,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionBudgetType,Commission Information,Budget,Budget type,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetType,string,n,n,y,vocabulary: budgettype,""
old,publicart acquisition ext.commission commissionBudgetType,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionBudgetType,Commission Information,"",Budget type,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetType,string,n,n,y,vocabulary: budgettype,""
new,publicart acquisition ext.commission commissionBudgetTypeNote,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionBudgetTypeNote,Commission Information,Budget,Budget note,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetTypeNote,string,n,n,y,"",""
old,publicart acquisition ext.commission commissionBudgetTypeNote,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionBudgetTypeNote,Commission Information,"",Budget note,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetTypeNote,string,n,n,y,"",""
new,publicart acquisition ext.commission commissionProjectedValueCurrency,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionProjectedValueCurrency,Commission Information,Budget > Projected value,Projected value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueCurrency,string,n,n,y,vocabulary: currency,""
old,publicart acquisition ext.commission commissionProjectedValueCurrency,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionProjectedValueCurrency,Commission Information,Projected value,Projected value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueCurrency,string,n,n,y,vocabulary: currency,""
new,publicart acquisition ext.commission commissionProjectedValueAmount,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionProjectedValueAmount,Commission Information,Budget > Projected value,Projected value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueAmount,float,n,n,y,"",""
old,publicart acquisition ext.commission commissionProjectedValueAmount,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionProjectedValueAmount,Commission Information,Projected value,Projected value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueAmount,float,n,n,y,"",""
new,publicart acquisition ext.commission commissionActualValueCurrency,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionActualValueCurrency,Commission Information,Budget > Actual value,Actual value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueCurrency,string,n,n,y,vocabulary: currency,""
old,publicart acquisition ext.commission commissionActualValueCurrency,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionActualValueCurrency,Commission Information,Actual value,Actual value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueCurrency,string,n,n,y,vocabulary: currency,""
new,publicart acquisition ext.commission commissionActualValueAmount,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionActualValueAmount,Commission Information,Budget > Actual value,Actual value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueAmount,float,n,n,y,"",""
old,publicart acquisition ext.commission commissionActualValueAmount,publicart,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionActualValueAmount,Commission Information,Actual value,Actual value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueAmount,float,n,n,y,"",""
new,publicart citation ns2:citations_common relatedTerm,publicart,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,Related term,Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority: concept/associated; authority: concept/material,""
old,publicart citation ns2:citations_common relatedTerm,publicart,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,Related term,Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority: concept/material,""
new,publicart collectionobject ns2:collectionobjects_common computedCurrentLocation,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.computedCurrentLocation,Object Identification Information,"",Computed current location,"",computedCurrentLocation,string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local; authority: place/local,""
