fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
herbarium_2-0-2 ns2:collectionobjects_herbarium herbAssocTaxonCommonName,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbAssocTaxonCommonName,Object Collection Information,Associated taxa,Associated taxon common name,herbAssociatedTaxaGroupList > herbAassociatedTaxaGroup,herbAssocTaxonCommonName,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbAssocTaxonInteraction,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbAssocTaxonInteraction,Object Collection Information,Associated taxa,Associated taxon interaction,herbAssociatedTaxaGroupList > herbAassociatedTaxaGroup,herbAssocTaxonInteraction,string,n,n,y,vocabulary: assoctaxoninteraction,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbCollectionLocationVerbatim,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbCollectionLocationVerbatim,Locality Information,Locality,Field collection location verbatim,herbLocalityGroupList > herbLocalityGroup,herbCollectionLocationVerbatim,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbCollectionPlace,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbCollectionPlace,Locality Information,Locality,Field collection place,herbLocalityGroupList > herbLocalityGroup,herbCollectionPlace,string,n,n,y,authority: place/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateDisplayDate,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateDisplayDate,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Display date,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateDisplayDate,string,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension datePeriod,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.datePeriod,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Period,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,datePeriod,string,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateAssociation,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateAssociation,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Association,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateAssociation,string,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateNote,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateNote,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Note,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateNote,string,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleYear,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleYear,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single year,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleYear,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleMonth,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleMonth,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single month,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleMonth,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
