profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
materials_3-0-6,chronology,Associated Authorities,Concept,Concept date,conceptGroupList > conceptGroup,conceptStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6,chronology,Associated Authorities,Concept,Concept citation,conceptGroupList > conceptGroup > conceptCitations,conceptCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6,chronology,Associated Authorities,Concept,Concept note,conceptGroupList > conceptGroup,conceptNote,string,n,n,y,"",""
materials_3-0-6,chronology,Associated Authorities,Place,Place associated,placeGroupList > placeGroup,place,string,n,n,y,authority: place/local,""
materials_3-0-6,chronology,Associated Authorities,Place,multiple msg matches: chronologies_common.placeType,placeGroupList > placeGroup,placeType,string,n,n,y,vocabulary: chronologyplacerelations,""
materials_3-0-6,chronology,Associated Authorities,Place,Place date,placeGroupList > placeGroup,placeStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6,chronology,Associated Authorities,Place,Place citation,placeGroupList > placeGroup > placeCitations,placeCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6,chronology,Associated Authorities,Place,multiple msg matches: chronologies_common.placeNote,placeGroupList > placeGroup,placeNote,string,n,n,y,"",""
materials_3-0-6,chronology,Associated Authorities,Related period,Related period associated,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriod,string,n,n,y,authority: chronology/era; authority: chronology/event; authority: chronology/fieldcollection,""
materials_3-0-6,chronology,Associated Authorities,Related period,Related period relationship/type,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodType,string,n,n,y,vocabulary: chronologyrelations,""
materials_3-0-6,chronology,Associated Authorities,Related period,Related period date,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6,chronology,Associated Authorities,Related period,Related period citation,relatedPeriodGroupList > relatedPeriodGroup > relatedPeriodCitations,relatedPeriodCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
