profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
publicart_6-1-0-98829f0,NAGPRA Inventory,nagprainventory,Inventory Documentation Information,"",Inventory cultural affiliation determined by,determinedBy,ns2:nagprainventories_common.determinedBy,determinedByPersonLocal; determinedByOrganizationLocal; determinedByRefname,y,as part of larger repeating group,authority; refname,person/local; organization/local; authority refname
publicart_6-1-0-98829f0,NAGPRA Inventory,nagprainventory,Context,"",Cultural group name,culture,ns2:nagprainventories_common.culture,cultureConceptEthculture; cultureConceptArchculture; cultureRefname,n,y,authority; refname,concept/ethculture; concept/archculture; authority refname
publicart_6-1-0-98829f0,Organization,organization,Organization Information,Source,Term source name,termSource,ns2:organizations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
publicart_6-1-0-98829f0,Person,person,Person Information,Source,Term source name,termSource,ns2:persons_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
publicart_6-1-0-98829f0,Person,person,Person Information,"",Person's organization,organization,ns2:persons_publicart.organization,organizationOrganizationLocal; organizationOrganizationShared; organizationRefname,y,n,authority; refname,organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Person,person,Maker-Supplied Identity Information,"",Birth place supplied,suppliedBirthPlace,ns2:persons_common.suppliedBirthPlace,suppliedBirthPlacePlaceLocal; suppliedBirthPlacePlaceShared; suppliedBirthPlaceRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Person,person,Maker-Supplied Identity Information,"",Other information author,informationAuthor,ns2:persons_common.informationAuthor,informationAuthorPersonLocal; informationAuthorPersonShared; informationAuthorRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Place,place,Place Information,Source,Term source name,termSource,ns2:places_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
publicart_6-1-0-98829f0,Place,place,Place Information,"",Owner,owner,ns2:places_publicart.owner,ownerPersonLocal; ownerPersonShared; ownerOrganizationLocal; ownerOrganizationShared; ownerRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Place,place,Place Information,"",Address municipality,addressMunicipality,ns2:places_common.addressMunicipality,addressMunicipalityPlaceLocal; addressMunicipalityPlaceShared; addressMunicipalityRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Place,place,Place Information,"",Address county,addressCounty,ns2:places_common.addressCounty,addressCountyPlaceLocal; addressCountyPlaceShared; addressCountyRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Place,place,Place Information,"",Address state/province,addressStateOrProvince,ns2:places_common.addressStateOrProvince,addressStateOrProvincePlaceLocal; addressStateOrProvincePlaceShared; addressStateOrProvinceRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Place,place,Place Information,"",Address country,addressCountry,ns2:places_common.addressCountry,addressCountryPlaceLocal; addressCountryPlaceShared; addressCountryRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Place,place,Georeference Information,"",Georeferenced by,geoReferencedBy,ns2:places_common.geoReferencedBy,geoReferencedByPersonLocal; geoReferencedByPersonShared; geoReferencedByOrganizationLocal; geoReferencedByOrganizationShared; geoReferencedByRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Transport,transport,Transport Information,"",Courier name,courier,ns2:transports_common.courier,courierPersonLocal; courierPersonShared; courierOrganizationLocal; courierOrganizationShared; courierRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Transport,transport,Cost Information,"",Shipping quote provider,shippingQuoteProvider,ns2:transports_common.shippingQuoteProvider,shippingQuoteProviderPersonLocal; shippingQuoteProviderPersonShared; shippingQuoteProviderOrganizationLocal; shippingQuoteProviderOrganizationShared; shippingQuoteProviderRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Use of Collections,uoc,Use of Collections Information,"",User name,user,ns2:uoc_common.user,userPersonLocal; userPersonShared; userOrganizationLocal; userOrganizationShared; userRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Use of Collections,uoc,Use of Collections Information,"",User institution,userInstitution,ns2:uoc_common.userInstitution,userInstitutionOrganizationLocal; userInstitutionOrganizationShared; userInstitutionRefname,n,y,authority; refname,organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Use of Collections,uoc,Use of Collections Information,"",Authorized by,authorizedBy,ns2:uoc_common.authorizedBy,authorizedByPersonLocal; authorizedByPersonShared; authorizedByOrganizationLocal; authorizedByOrganizationShared; authorizedByRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Use of Collections,uoc,Use of Collections Information,"",Staff name,staffName,ns2:uoc_common.staffName,staffNamePersonLocal; staffNamePersonShared; staffNameOrganizationLocal; staffNameOrganizationShared; staffNameRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Use of Collections,uoc,Use of Collections Information,"",Location,location,ns2:uoc_common.location,locationOrganizationLocal; locationOrganizationShared; locationPlaceLocal; locationPlaceShared; locationLocationLocal; locationRefname,y,n,authority; refname,organization/local; organization/shared; place/local; place/shared; location/local; authority refname
publicart_6-1-0-98829f0,Restricted Media Handling,restrictedmedia,Media Handling Information,"",Measured by,measuredBy,ns2:restrictedmedia_common.measuredBy,measuredByPersonLocal; measuredByPersonShared; measuredByOrganizationLocal; measuredByOrganizationShared; measuredByRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Summary Documentation,summarydocumentation,Summary Documentation Information,"",Summary affiliation determined by,determinedBy,ns2:summarydocumentations_common.determinedBy,determinedByPersonLocal; determinedByOrganizationLocal; determinedByRefname,y,as part of larger repeating group,authority; refname,person/local; organization/local; authority refname
publicart_6-1-0-98829f0,Summary Documentation,summarydocumentation,Context,"",Cultural group name,culture,ns2:summarydocumentations_common.culture,cultureConceptEthculture; cultureConceptArchculture; cultureRefname,n,y,authority; refname,concept/ethculture; concept/archculture; authority refname
publicart_6-1-0-98829f0,Valuation Control,valuation,Insurance Information,"",Insurer,insurer,ns2:valuationcontrols_publicart.insurer,insurerPersonLocal; insurerPersonShared; insurerOrganizationLocal; insurerOrganizationShared; insurerRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Work,work,Work Information,Source,Term source name,termSource,ns2:works_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
publicart_6-1-0-98829f0,Work,work,Work Information,"",Creator name,creator,ns2:works_common.creator,creatorPersonLocal; creatorPersonShared; creatorOrganizationLocal; creatorOrganizationShared; creatorRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Work,work,Work Information,"",Address municipality,addressMunicipality,ns2:works_common.addressMunicipality,addressMunicipalityPlaceLocal; addressMunicipalityPlaceShared; addressMunicipalityRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Work,work,Work Information,"",Address county,addressCounty,ns2:works_common.addressCounty,addressCountyPlaceLocal; addressCountyPlaceShared; addressCountyRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Work,work,Work Information,"",Address state/province,addressStateOrProvince,ns2:works_common.addressStateOrProvince,addressStateOrProvincePlaceLocal; addressStateOrProvincePlaceShared; addressStateOrProvinceRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Work,work,Work Information,"",Address country,addressCountry,ns2:works_common.addressCountry,addressCountryPlaceLocal; addressCountryPlaceShared; addressCountryRefname,n,y,authority; refname,place/local; place/shared; authority refname
