fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
fcart_5-0-3 ns2:collectionobjects_common distributedLedgerParentIdentifier,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.distributedLedgerParentIdentifier,Object Identification Information,Distributed ledger,Distributed ledger parent identifier,distributedLedgerGroupList > distributedLedgerGroup,distributedLedgerParentIdentifier,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common distributedLedgerObjectIdentifier,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.distributedLedgerObjectIdentifier,Object Identification Information,Distributed ledger,Distributed ledger object identifier,distributedLedgerGroupList > distributedLedgerGroup,distributedLedgerObjectIdentifier,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common ledger,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ledger,Object Identification Information,Ledger,Ledger type,ledgerGroupList > ledgerGroup,ledger,string,n,n,y,vocabulary: ledgertype,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common ledgerContractAddress,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ledgerContractAddress,Object Identification Information,Ledger,Ledger contract address,ledgerGroupList > ledgerGroup,ledgerContractAddress,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common ledgerTokenID,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ledgerTokenID,Object Identification Information,Ledger,Ledger token ID,ledgerGroupList > ledgerGroup,ledgerTokenID,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common checksumValue,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.checksumValue,Object Identification Information,Checksum,Checksum value,checksumGroupList > checksumGroup,checksumValue,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common checksumType,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.checksumType,Object Identification Information,Checksum,Checksum type,checksumGroupList > checksumGroup,checksumType,string,n,n,y,vocabulary: checksumtypes,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common checksumDate,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.checksumDate,Object Identification Information,Checksum,Checksum date,checksumGroupList > checksumGroup,checksumDate,date,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common intendedBehavior,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.intendedBehavior,Object Description Information,"",Intended behavior,"",intendedBehavior,string,n,n,n/a,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common formatType,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.formatType,Technical Specifications: Audio/Video/Still,Format,Format type,avFormatGroupList > avFormatGroup,formatType,string,n,n,y,vocabulary: formattypenames,"",not in fcart_4-0-0
