"status","Issue","fid","profile","record_type","namespace","namespace_for_id","field_id","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats","data_source_type","data_source_name","option_list_values"
"new","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusDate","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusDate","Summary Documentation Information",,"Summary documentation status date","statusGroupList > statusGroup","statusDate","date","n","n","y",,,
"old","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusDate","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusDate","Summary Documentation Information",,"Summary status date","statusGroupList > statusGroup","statusDate","date","n","n","y",,,
"new","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusNote","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusNote","Summary Documentation Information",,"Summary documentation status note","statusGroupList > statusGroup","statusNote","string","n","n","y",,,
"old","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusNote","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusNote","Summary Documentation Information",,"Summary status note","statusGroupList > statusGroup","statusNote","string","n","n","y",,,
"new","DRYD-1753","publicart deaccession ns2:deaccessions_common deaccessionApprovalIndividual","publicart","deaccession","ns2:deaccessions_common","ns2:deaccessions_common","deaccessions_common.deaccessionApprovalIndividual","Deaccession Information",,"Deaccession approval individual","deaccessionApprovalGroupList > deaccessionApprovalGroup","deaccessionApprovalIndividual","string","n","n","y","authority","person/local; person/shared",
"old","DRYD-1753","publicart deaccession ns2:deaccessions_common deaccessionApprovalIndividual","publicart","deaccession","ns2:deaccessions_common","ns2:deaccessions_common","deaccessions_common.deaccessionApprovalIndividual","Deaccession Information",,"Deaccession approval individual","deaccessionApprovalGroupList > deaccessionApprovalGroup","deaccessionApprovalIndividual","string","n","n","y","authority","person/local",
"new","DRYD-1753","publicart deaccession ns2:deaccessions_common exitRecipient","publicart","deaccession","ns2:deaccessions_common","ns2:deaccessions_common","deaccessions_common.exitRecipient","Proposed Exit Details",,"Exit recipient","exitRecipients","exitRecipient","string","n","y","n","authority","person/local; person/shared; organization/local; organization/shared",
"old","DRYD-1753","publicart deaccession ns2:deaccessions_common exitRecipient","publicart","deaccession","ns2:deaccessions_common","ns2:deaccessions_common","deaccessions_common.exitRecipient","Proposed Exit Details",,"Exit recipient","exitRecipients","exitRecipient","string","n","y","n","authority","person/local; organization/local",
"new","DRYD-1753","publicart exit ns2:exits_common owner","publicart","exit","ns2:exits_common","ns2:exits_common","exits_common.owner","Object Exit Information",,"Owner after exit","owners","owner","string","n","y","n","authority","person/local; person/shared; organization/local; organization/shared",
"old","DRYD-1753","publicart exit ns2:exits_common owner","publicart","exit","ns2:exits_common","ns2:exits_common","exits_common.owner","Object Exit Information",,"Owner after exit","owners","owner","string","n","y","n","authority","person/local; organization/local",
"new","DRYD-1753","publicart exit ns2:exits_common agent","publicart","exit","ns2:exits_common","ns2:exits_common","exits_common.agent","Object Exit Information",,"Exit agent name","exitAgentGroupList > exitAgentGroup","agent","string","n","n","y","authority","person/local; person/shared; organization/local; organization/shared",
"old","DRYD-1753","publicart exit ns2:exits_common agent","publicart","exit","ns2:exits_common","ns2:exits_common","exits_common.agent","Object Exit Information",,"Exit agent name","exitAgentGroupList > exitAgentGroup","agent","string","n","n","y","authority","person/local; organization/local",
"new","DRYD-1753","publicart exit ns2:exits_common individual","publicart","exit","ns2:exits_common","ns2:exits_common","exits_common.individual","Object Exit Information",,"Approval status individual","approvalStatusGroupList > approvalStatusGroup","individual","string","n","n","y","authority","person/local; person/shared",
"old","DRYD-1753","publicart exit ns2:exits_common individual","publicart","exit","ns2:exits_common","ns2:exits_common","exits_common.individual","Object Exit Information",,"Approval status individual","approvalStatusGroupList > approvalStatusGroup","individual","string","n","n","y","authority","person/local",
