profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
core_9-0-0,Citation,Term full citation,Citation Information,"",string,n,n,y,"","","",citation,termFullCitation
core_9-0-0,Citation,Term title,Citation Information,"",string,n,n,y,"","","",citation,termTitle
core_9-0-0,Citation,Term subtitle,Citation Information,"",string,n,n,y,"","","",citation,termSubTitle
core_9-0-0,Citation,Term section title,Citation Information,"",string,n,n,y,"","","",citation,termSectionTitle
core_9-0-0,Citation,Term volume,Citation Information,"",string,n,n,y,"","","",citation,termVolume
core_9-0-0,Citation,Term issue,Citation Information,"",string,n,n,y,"","","",citation,termIssue
core_9-0-0,Citation,Term source name,Citation Information,Source,string,n,n,y,authority,citation/local; citation/worldcat,"",citation,termSource
core_9-0-0,Citation,Term source detail,Citation Information,Source,string,n,n,y,"","","",citation,termSourceDetail
core_9-0-0,Citation,Term source ID,Citation Information,Source,string,n,n,y,"","","",citation,termSourceID
core_9-0-0,Citation,Term source note,Citation Information,Source,string,n,n,y,"","","",citation,termSourceNote
core_9-0-0,Citation,Publisher,Citation Information,"",string,n,n,y,authority,organization/local,"",citation,publisher
core_9-0-0,Citation,Publication place,Citation Information,"",string,n,n,y,authority,place/local; place/tgn,"",citation,publicationPlace
core_9-0-0,Citation,Publication date,Citation Information,"",structured date group,n,n,y,"","","",citation,publicationDate
core_9-0-0,Citation,Publication edition,Citation Information,"",string,n,n,y,"","","",citation,edition
core_9-0-0,Citation,Publication page(s),Citation Information,"",string,n,n,y,"","","",citation,pages
core_9-0-0,Citation,Agent name,Citation Information,"",string,n,n,y,authority,person/local; person/ulan; organization/local,"",citation,agent
core_9-0-0,Citation,Agent role,Citation Information,"",string,n,n,y,vocabulary,agentinfotype,"",citation,role
core_9-0-0,Citation,Agent note,Citation Information,"",string,n,n,y,"","","",citation,note
core_9-0-0,Citation,Note,Citation Information,"",string,n,n,n/a,"","","",citation,citationNote
core_9-0-0,Citation,Resource identifier,Citation Information,"",string,n,n,y,"","","",citation,resourceIdent
core_9-0-0,Citation,Resource identifier type,Citation Information,"",string,n,n,y,vocabulary,resourceidtype,"",citation,type
core_9-0-0,Citation,Resource identifier capture date,Citation Information,"",structured date group,n,n,y,"","","",citation,captureDate
core_9-0-0,Citation,Related term,Citation Information,"",string,n,n,y,authority,concept/associated; concept/activity; concept/material,"",citation,relatedTerm
core_9-0-0,Citation,Related term type,Citation Information,"",string,n,n,y,vocabulary,relationtypetype,"",citation,relationType
core_9-0-0,Chronology,Term display name,Chronology Information,"",string,y,n,y,"","","",chronology,termDisplayName
core_9-0-0,Chronology,Term name,Chronology Information,"",string,n,n,y,"","","",chronology,termName
core_9-0-0,Chronology,Term qualifier,Chronology Information,"",string,n,n,y,"","","",chronology,termQualifier
core_9-0-0,Chronology,Term status,Chronology Information,"",string,n,n,y,vocabulary,chronologytermstatus,"",chronology,termStatus
core_9-0-0,Chronology,Term type,Chronology Information,"",string,n,n,y,vocabulary,chronologytermtype,"",chronology,termType
core_9-0-0,Chronology,Term flag,Chronology Information,"",string,n,n,y,vocabulary,chronologytermflag,"",chronology,termFlag
core_9-0-0,Chronology,Term historical status,Chronology Information,"",string,n,n,y,vocabulary,chronologyhistoricalstatus,"",chronology,historicalStatus
core_9-0-0,Chronology,Term language,Chronology Information,"",string,n,n,y,vocabulary,languages,"",chronology,termLanguage
core_9-0-0,Chronology,Term preferred for lang,Chronology Information,"",boolean,n,n,y,"","","",chronology,termPrefForLang
core_9-0-0,Chronology,Term source name,Chronology Information,Source,string,n,n,y,authority,citation/local; citation/worldcat,"",chronology,termSource
core_9-0-0,Chronology,Term source detail,Chronology Information,Source,string,n,n,y,"","","",chronology,termSourceDetail
core_9-0-0,Chronology,Term source ID,Chronology Information,Source,string,n,n,y,"","","",chronology,termSourceID
core_9-0-0,Chronology,Term source note,Chronology Information,Source,string,n,n,y,"","","",chronology,termSourceNote
core_9-0-0,Chronology,Primary date range,Chronology Information,"",structured date group,n,n,n/a,"","","",chronology,primaryDateRangeStructuredDateGroup
core_9-0-0,Chronology,Chronology type,Chronology Information,"",string,n,n,n/a,vocabulary,chronologytypes,"",chronology,chronologyType
core_9-0-0,Chronology,Spatial coverage,Chronology Information,"",string,n,y,n,authority,place/local; place/tgn,"",chronology,spatialCoverage
core_9-0-0,Chronology,Chronology description,Chronology Information,"",string,n,n,n/a,"","","",chronology,chronologyDescription
