profile,ui_config,display_name,short_identifier,workflow_state,updated,csid,uri,refname,used_by
anthro,anthro_8-0-0,Use of Collections Authorization Statuses,uocauthorizationstatuses,project,2021-11-18T02:21:43.289Z,75dd6238-ee8a-4e58-88db,/vocabularies/75dd6238-ee8a-4e58-88db,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocauthorizationstatuses)'Use of Collections Authorization Statuses',UOC: Use of Collections Information > Authorization status
anthro,anthro_8-0-0,Use of Collections Material Types,uocmaterialtypes,project,2021-11-18T02:22:51.973Z,3944ef57-0d79-4462-94e1,/vocabularies/3944ef57-0d79-4462-94e1,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocmaterialtypes)'Use of Collections Material Types',UOC: Use of Collections Information > Material type
anthro,anthro_8-0-0,Use of Collections Methods,uocmethods,project,2021-11-18T02:21:41.378Z,73285305-593b-4ac7-8bfe,/vocabularies/73285305-593b-4ac7-8bfe,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocmethods)'Use of Collections Methods',UOC: Use of Collections Information > Method
anthro,anthro_8-0-0,Use of Collections Project Identification Numbers,uocprojectid,project,2021-11-18T02:22:53.160Z,3ac4a6e2-86d6-4e36-96e7,/vocabularies/3ac4a6e2-86d6-4e36-96e7,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocprojectid)'Use of Collections Project Identification Numbers',UOC: Use of Collections Information > Project ID
anthro,anthro_8-0-0,Use of Collections Staff Roles,uocstaffroles,project,2021-11-18T02:22:51.654Z,992abb1f-d1e9-488c-a778,/vocabularies/992abb1f-d1e9-488c-a778,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocstaffroles)'Use of Collections Staff Roles',UOC: Use of Collections Information > Staff role
anthro,anthro_8-0-0,Use of Collections Subcollections,uocsubcollections,project,2021-11-18T02:22:53.247Z,f897c980-ad0a-4ab3-9ce7,/vocabularies/f897c980-ad0a-4ab3-9ce7,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocsubcollections)'Use of Collections Subcollections',UOC: Use of Collections Information > Subcollection
anthro,anthro_8-0-0,Use of Collections Types,uoccollectiontypes,project,2021-11-18T02:22:51.346Z,ca90d81d-69aa-4fcc-9494,/vocabularies/ca90d81d-69aa-4fcc-9494,urn:cspace:anthro.collectionspace.org:vocabularies:name(uoccollectiontypes)'Use of Collections Types',UOC: Use of Collections Information > Collection type
anthro,anthro_8-0-0,Use of Collections User Roles,uocuserroles,project,2021-11-18T02:21:42.847Z,5035a974-dcf3-4754-bb30,/vocabularies/5035a974-dcf3-4754-bb30,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocuserroles)'Use of Collections User Roles',UOC: Use of Collections Information > User role
anthro,anthro_8-0-0,Use of Collections User Types,uocusertypes,project,2021-11-18T02:21:42.179Z,102b447d-d8a4-43f1-bf41,/vocabularies/102b447d-d8a4-43f1-bf41,urn:cspace:anthro.collectionspace.org:vocabularies:name(uocusertypes)'Use of Collections User Types',UOC: Use of Collections Information > User institution role
anthro,anthro_8-0-0,Use Restriction,userestriction,project,2022-12-02T21:32:13.009Z,e6aa1ade-b238-4c3b-8e3e,/vocabularies/e6aa1ade-b238-4c3b-8e3e,urn:cspace:anthro.collectionspace.org:vocabularies:name(userestriction)'Use Restriction',PERSON: Maker-Supplied Identity Information > Pronoun supplied use restriction; PERSON: Maker-Supplied Identity Information > Gender supplied use restriction; PERSON: Maker-Supplied Identity Information > Race supplied use restriction; PERSON: Maker-Supplied Identity Information > Ethnicity supplied use restriction; PERSON: Maker-Supplied Identity Information > Sexuality supplied use restriction; PERSON: Maker-Supplied Identity Information > Birth place supplied use restriction; PERSON: Maker-Supplied Identity Information > Birth date supplied use restriction; PERSON: Maker-Supplied Identity Information > Other information use restriction
