fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,dumbfieldname,new?
core acquisition ns2:acquisitions_common approvalIndividual,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalIndividual,Acquisition Information,"",Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority,person/local,"",acquisition approvalIndividual,""
core acquisition ns2:acquisitions_common approvalStatus,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalStatus,Acquisition Information,"",Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary,deaccessionapprovalstatus,"",acquisition approvalStatus,""
core acquisition ns2:acquisitions_common approvalDate,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalDate,Acquisition Information,"",Approval status date,approvalGroupList > approvalGroup,approvalDate,date,n,n,y,"","","",acquisition approvalDate,""
core acquisition ns2:acquisitions_common approvalNote,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalNote,Acquisition Information,"",Approval note,approvalGroupList > approvalGroup,approvalNote,string,n,n,y,"","","",acquisition approvalNote,""
core acquisition ns2:acquisitions_common acquisitionNote,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionNote,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"","","",acquisition acquisitionNote,""
core acquisition ns2:acquisitions_common acquisitionProvisos,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionProvisos,Acquisition Information,"",Provisos,"",acquisitionProvisos,string,n,n,n/a,"","","",acquisition acquisitionProvisos,""
core acquisition ns2:acquisitions_common acquisitionFundingCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingCurrency,Acquisition Information,"",Funding currency,acquisitionFundingList > acquisitionFunding,acquisitionFundingCurrency,string,n,n,y,vocabulary,currency,"",acquisition acquisitionFundingCurrency,""
core acquisition ns2:acquisitions_common acquisitionFundingValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingValue,Acquisition Information,"",Funding value,acquisitionFundingList > acquisitionFunding,acquisitionFundingValue,float,n,n,y,"","","",acquisition acquisitionFundingValue,""
core acquisition ns2:acquisitions_common acquisitionFundingSource,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSource,Acquisition Information,"",Funding source,acquisitionFundingList > acquisitionFunding,acquisitionFundingSource,string,n,n,y,authority,person/local; organization/local,"",acquisition acquisitionFundingSource,""
core acquisition ns2:acquisitions_common acquisitionFundingSourceProvisos,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSourceProvisos,Acquisition Information,"",Funding source provisos,acquisitionFundingList > acquisitionFunding,acquisitionFundingSourceProvisos,string,n,n,y,"","","",acquisition acquisitionFundingSourceProvisos,""
