fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
core_8_3 chronology ns2:chronologies_common termStatus,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termStatus,Chronology Information,"",Term status,chronologyTermGroupList > chronologyTermGroup,termStatus,string,n,n,y,vocabulary,chronologytermstatus,""
core_8_3 chronology ns2:chronologies_common termType,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termType,Chronology Information,"",Term type,chronologyTermGroupList > chronologyTermGroup,termType,string,n,n,y,vocabulary,chronologytermtype,""
core_8_3 chronology ns2:chronologies_common termFlag,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termFlag,Chronology Information,"",Term flag,chronologyTermGroupList > chronologyTermGroup,termFlag,string,n,n,y,vocabulary,chronologytermflag,""
core_8_3 chronology ns2:chronologies_common historicalStatus,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.historicalStatus,Chronology Information,"",Term historical status,chronologyTermGroupList > chronologyTermGroup,historicalStatus,string,n,n,y,vocabulary,chronologyhistoricalstatus,""
core_8_3 chronology ns2:chronologies_common termLanguage,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termLanguage,Chronology Information,"",Term language,chronologyTermGroupList > chronologyTermGroup,termLanguage,string,n,n,y,vocabulary,languages,""
core_8_3 chronology ns2:chronologies_common termPrefForLang,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termPrefForLang,Chronology Information,"",Term preferred for lang,chronologyTermGroupList > chronologyTermGroup,termPrefForLang,boolean,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common termSource,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSource,Chronology Information,"",Term source name,chronologyTermGroupList > chronologyTermGroup,termSource,string,n,n,y,authority,citation/local; citation/worldcat,""
core_8_3 chronology ns2:chronologies_common termSourceDetail,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceDetail,Chronology Information,"",Term source detail,chronologyTermGroupList > chronologyTermGroup,termSourceDetail,string,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common termSourceID,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceID,Chronology Information,"",Term source ID,chronologyTermGroupList > chronologyTermGroup,termSourceID,string,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common termSourceNote,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceNote,Chronology Information,"",Term source note,chronologyTermGroupList > chronologyTermGroup,termSourceNote,string,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common primaryDateRangeStructuredDateGroup,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.primaryDateRangeStructuredDateGroup,Chronology Information,"",Primary date range,"",primaryDateRangeStructuredDateGroup,structured date group,n,n,n/a,"","",""
core_8_3 chronology ns2:chronologies_common chronologyType,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyType,Chronology Information,"",Chronology type,"",chronologyType,string,n,n,n/a,vocabulary,chronologytypes,""
core_8_3 chronology ns2:chronologies_common spatialCoverage,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.spatialCoverage,Chronology Information,"",Spatial coverage,spatialCoverages,spatialCoverage,string,n,y,n,authority,place/local; place/tgn,""
core_8_3 chronology ns2:chronologies_common chronologyDescription,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyDescription,Chronology Information,"",Chronology description,"",chronologyDescription,string,n,n,n/a,"","",""
core_8_3 chronology ns2:chronologies_common chronologyNote,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyNote,Chronology Information,"",Chronology note,"",chronologyNote,string,n,n,n/a,"","",""
core_8_3 chronology ns2:chronologies_common identifierValue,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierValue,Chronology Information,"",Resource identifier value,identifierGroupList > identifierGroup,identifierValue,string,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common identifierCitation,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierCitation,Chronology Information,"",Resource identifier citation,identifierGroupList > identifierGroup,identifierCitation,string,n,n,y,authority,citation/local; citation/worldcat,""
core_8_3 chronology ns2:chronologies_common identifierDate,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierDate,Chronology Information,"",Resource identifier date,identifierGroupList > identifierGroup,identifierDate,date,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common altDateRangeStructuredDateGroup,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateRangeStructuredDateGroup,Alternative Date Information,"",Alternative date range,altDateGroupList > altDateGroup,altDateRangeStructuredDateGroup,structured date group,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common altDateSpatialCoverage,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateSpatialCoverage,Alternative Date Information,"",Alternative date spatial coverage,altDateGroupList > altDateGroup > altDateSpatialCoverages,altDateSpatialCoverage,string,n,y,as part of larger repeating group,authority,place/local; place/tgn,""
core_8_3 chronology ns2:chronologies_common altDateCitation,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateCitation,Alternative Date Information,"",Alternative date citation,altDateGroupList > altDateGroup > altDateCitations,altDateCitation,string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,""
core_8_3 chronology ns2:chronologies_common altDateNote,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateNote,Alternative Date Information,"",Alternative date note,altDateGroupList > altDateGroup,altDateNote,string,n,n,y,"","",""
core_8_3 chronology ext.associatedAuthority assocPerson,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPerson,Associated Authorities,"",Associated person,assocPersonAuthGroupList > assocPersonAuthGroup,assocPerson,string,n,n,y,authority,person/local; person/ulan,""
core_8_3 chronology ext.associatedAuthority assocPersonType,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPersonType,Associated Authorities,"",Associated person relationship/type,assocPersonAuthGroupList > assocPersonAuthGroup,assocPersonType,string,n,n,y,vocabulary,assocauthorityrelationtype,""
core_8_3 chronology ext.associatedAuthority assocPersonStructuredDateGroup,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPersonStructuredDateGroup,Associated Authorities,"",Associated person date,assocPersonAuthGroupList > assocPersonAuthGroup,assocPersonStructuredDateGroup,structured date group,n,n,y,"","",""
core_8_3 chronology ext.associatedAuthority assocPersonCitation,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPersonCitation,Associated Authorities,"",Associated person citation,assocPersonAuthGroupList > assocPersonAuthGroup > assocPersonCitations,assocPersonCitation,string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,""
core_8_3 chronology ext.associatedAuthority assocPersonNote,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPersonNote,Associated Authorities,"",Associated person note,assocPersonAuthGroupList > assocPersonAuthGroup,assocPersonNote,string,n,n,y,"","",""
core_8_3 chronology ext.associatedAuthority assocPeople,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPeople,Associated Authorities,"",Associated people,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeople,string,n,n,y,authority,concept/associated,""
core_8_3 chronology ext.associatedAuthority assocPeopleType,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPeopleType,Associated Authorities,"",Associated people relationship/type,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeopleType,string,n,n,y,vocabulary,assocauthorityrelationtype,""
core_8_3 chronology ext.associatedAuthority assocPeopleStructuredDateGroup,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPeopleStructuredDateGroup,Associated Authorities,"",Associated people date,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeopleStructuredDateGroup,structured date group,n,n,y,"","",""
core_8_3 chronology ext.associatedAuthority assocPeopleCitation,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPeopleCitation,Associated Authorities,"",Associated people citation,assocPeopleAuthGroupList > assocPeopleAuthGroup > assocPeopleCitations,assocPeopleCitation,string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,""
core_8_3 chronology ext.associatedAuthority assocPeopleNote,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPeopleNote,Associated Authorities,"",Associated people note,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeopleNote,string,n,n,y,"","",""
core_8_3 chronology ext.associatedAuthority assocOrganization,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocOrganization,Associated Authorities,"",Associated organization,assocOrganizationAuthGroupList > assocOrganizationAuthGroup,assocOrganization,string,n,n,y,authority,organization/local; organization/ulan,""
core_8_3 chronology ext.associatedAuthority assocOrganizationType,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocOrganizationType,Associated Authorities,"",Associated organization relationship/type,assocOrganizationAuthGroupList > assocOrganizationAuthGroup,assocOrganizationType,string,n,n,y,vocabulary,assocauthorityrelationtype,""
core_8_3 chronology ext.associatedAuthority assocOrganizationStructuredDateGroup,core_8_3,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocOrganizationStructuredDateGroup,Associated Authorities,"",Associated organization date,assocOrganizationAuthGroupList > assocOrganizationAuthGroup,assocOrganizationStructuredDateGroup,structured date group,n,n,y,"","",""
