fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
core_7-1-0 ns2:collectionobjects_common objectNameSystem,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameSystem,Object Identification Information,Object name,Object name system,objectNameList > objectNameGroup,objectNameSystem,string,n,n,y,option list: nameSystems,"art-and-architecture-thesaurus, nomenclature"
core_7-1-0 ns2:collectionobjects_common objectNameType,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameType,Object Identification Information,Object name,Object name type,objectNameList > objectNameGroup,objectNameType,string,n,n,y,option list: nameTypes,"classified, denomination, simple, taxonomic, typological"
core_7-1-0 ns2:collectionobjects_common objectNameLanguage,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLanguage,Object Identification Information,Object name,Object name language,objectNameList > objectNameGroup,objectNameLanguage,string,n,n,y,vocabulary: languages,""
core_7-1-0 ns2:collectionobjects_common objectNameNote,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameNote,Object Identification Information,Object name,Object name note,objectNameList > objectNameGroup,objectNameNote,string,n,n,y,"",""
core_7-1-0 ns2:collectionobjects_common copyNumber,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.copyNumber,Object Description Information,"",Copy number,"",copyNumber,string,n,n,n/a,"",""
core_7-1-0 ns2:collectionobjects_common objectStatus,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectStatus,Object Description Information,"",Object status,objectStatusList,objectStatus,string,n,y,n,option list: objectStatuses,"copy, forgery, holotype, paralectotype, paratype, type"
core_7-1-0 ns2:collectionobjects_common sex,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.sex,Object Description Information,"",Sex,"",sex,string,n,n,n/a,option list: sexes,"female, male"
core_7-1-0 ns2:collectionobjects_common phase,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.phase,Object Description Information,"",Phase,"",phase,string,n,n,n/a,option list: phases,"adult, imago, larva, nymph, pupa"
core_7-1-0 ns2:collectionobjects_common form,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.form,Object Description Information,"",Form,forms,form,string,n,y,n,option list: forms,"dry, pinned, thin-section, wet"
core_7-1-0 ns2:collectionobjects_common editionNumber,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.editionNumber,Object Description Information,"",Edition number,"",editionNumber,string,n,n,n/a,"",""
