fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
publicart_4-0-3 ns2:citations_common agent,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,Agent,Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:citations_common role,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.role,Citation Information,Agent,Agent role,citationAgentInfoGroupList > citationAgentInfoGroup,role,string,n,n,y,vocabulary: agentinfotype,""
publicart_4-0-3 ns2:citations_common note,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.note,Citation Information,Agent,Agent note,citationAgentInfoGroupList > citationAgentInfoGroup,note,string,n,n,y,"",""
publicart_4-0-3 ns2:citations_common citationNote,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.citationNote,Citation Information,"",Note,"",citationNote,string,n,n,n/a,"",""
publicart_4-0-3 ns2:citations_common resourceIdent,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.resourceIdent,Citation Information,Resource identifier,Resource identifier,citationResourceIdentGroupList > citationResourceIdentGroup,resourceIdent,string,n,n,y,"",""
publicart_4-0-3 ns2:citations_common type,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.type,Citation Information,Resource identifier,Resource identifier type,citationResourceIdentGroupList > citationResourceIdentGroup,type,string,n,n,y,vocabulary: resourceidtype,""
publicart_4-0-3 ns2:citations_common captureDate,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.captureDate,Citation Information,Resource identifier,Resource identifier capture date,citationResourceIdentGroupList > citationResourceIdentGroup,captureDate,structured date group,n,n,y,"",""
publicart_4-0-3 ns2:citations_common relatedTerm,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,Related term,Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority: concept/material,""
publicart_4-0-3 ns2:citations_common relationType,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.relationType,Citation Information,Related term,Related term type,citationRelatedTermsGroupList > citationRelatedTermsGroup,relationType,string,n,n,y,vocabulary: relationtypetype,""
publicart_4-0-3 ns2:collectionobjects_common objectNumber,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNumber,Object Identification Information,"",Artwork ID,"",objectNumber,string,y,n,n/a,"",""
