"profile","record_type","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats"
"bonsai_5-0-2","collectionobject","Object History and Association Information","Associations > Associated date","Associated date value","assocDateGroupList > assocDateGroup","assocStructuredDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","collectionobject","Object History and Association Information",,"Ownership date","ownershipDateGroupList","ownershipDateGroup","structured date group","n","y","n"
"bonsai_5-0-2","collectionobject","Object Collection Information",,"Field collection date",,"fieldCollectionDateGroup","structured date group","n","n","n/a"
"bonsai_5-0-2","exhibition","Exhibition Information","Gallery rotation","Gallery rotation start date","galleryRotationGroupList > galleryRotationGroup","galleryRotationStartDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","exhibition","Exhibition Information","Gallery rotation","Gallery rotation end date","galleryRotationGroupList > galleryRotationGroup","galleryRotationEndDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","media","Media Handling Information",,"Date","dateGroupList","dateGroup","structured date group","n","y","n"
"bonsai_5-0-2","objectexit","Object Exit Information",,"Exit date",,"exitDateGroup","structured date group","n","n","n/a"
"bonsai_5-0-2","organization","Organization Information",,"Foundation date",,"foundingDateGroup","structured date group","n","n","n/a"
"bonsai_5-0-2","organization","Organization Information",,"Dissolution date",,"dissolutionDateGroup","structured date group","n","n","n/a"
"bonsai_5-0-2","organization","Organization Information","Contact person","Contact date","contactGroupList > contactGroup","contactDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","organization","Organization Information","Contact person","Contact end date","contactGroupList > contactGroup","contactEndDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","person","Person Information",,"Birth date",,"birthDateGroup","structured date group","n","n","n/a"
"bonsai_5-0-2","person","Person Information",,"Death date",,"deathDateGroup","structured date group","n","n","n/a"
"bonsai_5-0-2","person","Maker-Supplied Identity Information","Supplied birth date","Birth date supplied","suppliedBirthDateGroupList > suppliedBirthDateGroup","suppliedStructuredBirthDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","place","Place Information","Term","Term date","placeTermGroupList > placeTermGroup","nameDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","place","Place Information","Ownership","Ownership date","placeOwnerGroupList > placeOwnerGroup","ownershipDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","place","Georeference Information","Georeference","Georeference date","placeGeoRefGroupList > placeGeoRefGroup","geoRefDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","work","Work Information",,"Work date","workDateGroupList","workDateGroup","structured date group","n","y","n"
"anthro_6-0-5","acquisition","Acquisition Information",,"Accession date",,"accessionDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","acquisition","Acquisition Information",,"Acquisition date","acquisitionDateGroupList","acquisitionDateGroup","structured date group","n","y","n"
"anthro_6-0-5","citation","Citation Information","Publication","Publication date","citationPublicationInfoGroupList > citationPublicationInfoGroup","publicationDate","structured date group","n","n","y"
"anthro_6-0-5","citation","Citation Information","Resource identifier","Resource identifier capture date","citationResourceIdentGroupList > citationResourceIdentGroup","captureDate","structured date group","n","n","y"
"anthro_6-0-5","collectionobject","Object Collection Information",,"Field collection date",,"fieldCollectionDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","collectionobject","Object Production Information",,"Production date","objectProductionDateGroupList","objectProductionDateGroup","structured date group","n","y","n"
"anthro_6-0-5","collectionobject","Repatriation and NAGPRA Compliance Information","Reported to National NAGPRA","NAGPRA report filed date","nagpraReportFiledGroupList > nagpraReportFiledGroup","nagpraReportFiledDate","structured date group","n","n","y"
"anthro_6-0-5","collectionobject","Object Description Information","Biological Information > Determination history > Identification by","Taxonomic identification date","taxonomicIdentGroupList > taxonomicIdentGroup","identDateGroup","structured date group","n","n","y"
"anthro_6-0-5","collectionobject","Object Description Information","Content","Content date",,"contentDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","collectionobject","Object Description Information","Textual Inscription > Textual inscription","Textual inscription date","textualInscriptionGroupList > textualInscriptionGroup","inscriptionContentDateGroup","structured date group","n","n","y"
"anthro_6-0-5","collectionobject","Object Description Information","Non-Textual Inscription > Non-textual inscription","Non-textual inscription date","nonTextualInscriptionGroupList > nonTextualInscriptionGroup","inscriptionDescriptionDateGroup","structured date group","n","n","y"
"anthro_6-0-5","collectionobject","Object History and Association Information","Associations > Associated date","Associated date value","assocDateGroupList > assocDateGroup","assocStructuredDateGroup","structured date group","n","n","y"
"anthro_6-0-5","collectionobject","Object History and Association Information","Previous ownership","Previous ownership date","anthroOwnershipGroupList > anthroOwnershipGroup","anthroOwnershipDateGroup","structured date group","n","n","y"
"anthro_6-0-5","collectionobject","Locality Information","Georeference Detail","Georeference date","localityGroupList > localityGroup","geoRefDateGroup","structured date group","n","n","y"
"anthro_6-0-5","exhibition","Exhibition Information","Gallery rotation","Gallery rotation start date","galleryRotationGroupList > galleryRotationGroup","galleryRotationStartDateGroup","structured date group","n","n","y"
"anthro_6-0-5","exhibition","Exhibition Information","Gallery rotation","Gallery rotation end date","galleryRotationGroupList > galleryRotationGroup","galleryRotationEndDateGroup","structured date group","n","n","y"
"anthro_6-0-5","media","Media Handling Information",,"Date","dateGroupList","dateGroup","structured date group","n","y","n"
"anthro_6-0-5","objectexit","Object Exit Information",,"Exit date",,"exitDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","organization","Organization Information",,"Foundation date",,"foundingDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","organization","Organization Information",,"Dissolution date",,"dissolutionDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","organization","Organization Information","Contact person","Contact date","contactGroupList > contactGroup","contactDateGroup","structured date group","n","n","y"
"anthro_6-0-5","organization","Organization Information","Contact person","Contact end date","contactGroupList > contactGroup","contactEndDateGroup","structured date group","n","n","y"
"anthro_6-0-5","person","Person Information",,"Birth date",,"birthDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","person","Person Information",,"Death date",,"deathDateGroup","structured date group","n","n","n/a"
"anthro_6-0-5","person","Maker-Supplied Identity Information","Supplied birth date","Birth date supplied","suppliedBirthDateGroupList > suppliedBirthDateGroup","suppliedStructuredBirthDateGroup","structured date group","n","n","y"
"anthro_6-0-5","place","Place Information","Term","Term date","placeTermGroupList > placeTermGroup","nameDateGroup","structured date group","n","n","y"
"anthro_6-0-5","place","Place Information","Ownership","Ownership date","placeOwnerGroupList > placeOwnerGroup","ownershipDateGroup","structured date group","n","n","y"
"anthro_6-0-5","place","Georeference Information","Georeference","Georeference date","placeGeoRefGroupList > placeGeoRefGroup","geoRefDateGroup","structured date group","n","n","y"
"anthro_6-0-5","work","Work Information",,"Work date","workDateGroupList","workDateGroup","structured date group","n","y","n"
"anthro_6-0-5","osteology","Osteology Information","Age estimate","Age estimate date","osteoAgeEstimateGroupList > osteoAgeEstimateGroup","osteoAgeEstimateDateGroup","structured date group","n","n","y"
"anthro_6-0-5","osteology","Osteology Information","Sex determination","Sex determination date","sexDeterminationGroupList > sexDeterminationGroup","sexDeterminationDateGroup","structured date group","n","n","y"
"anthro_6-0-5","claim","Claim Context","Time period represented","Time period represented date","nagpraClaimPeriodGroupList > nagpraClaimPeriodGroup","nagpraClaimPeriodDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","citation","Citation Information","Publication","Publication date","citationPublicationInfoGroupList > citationPublicationInfoGroup","publicationDate","structured date group","n","n","y"
"herbarium_2-0-2","citation","Citation Information","Resource identifier","Resource identifier capture date","citationResourceIdentGroupList > citationResourceIdentGroup","captureDate","structured date group","n","n","y"
"herbarium_2-0-2","collectionobject","Object Identification Information","Determination history > Identification by","Taxonomic identification date","determinationHistoryGroupList > determinationHistoryGroup","determinationDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","collectionobject","Object History and Association Information","Associations > Associated date","Associated date value","assocDateGroupList > assocDateGroup","assocStructuredDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","collectionobject","Object History and Association Information",,"Ownership date","ownershipDateGroupList","ownershipDateGroup","structured date group","n","y","n"
"herbarium_2-0-2","collectionobject","Object Collection Information",,"Field collection date",,"fieldCollectionDateGroup","structured date group","n","n","n/a"
"herbarium_2-0-2","collectionobject","Object Production Information",,"Production date","objectProductionDateGroupList","objectProductionDateGroup","structured date group","n","y","n"
"herbarium_2-0-2","collectionobject","Object Description Information","Content","Content date",,"contentDateGroup","structured date group","n","n","n/a"
"herbarium_2-0-2","exhibition","Exhibition Information","Gallery rotation","Gallery rotation start date","galleryRotationGroupList > galleryRotationGroup","galleryRotationStartDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","exhibition","Exhibition Information","Gallery rotation","Gallery rotation end date","galleryRotationGroupList > galleryRotationGroup","galleryRotationEndDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","media","Media Handling Information",,"Date","dateGroupList","dateGroup","structured date group","n","y","n"
"herbarium_2-0-2","organization","Organization Information",,"Foundation date",,"foundingDateGroup","structured date group","n","n","n/a"
"herbarium_2-0-2","organization","Organization Information",,"Dissolution date",,"dissolutionDateGroup","structured date group","n","n","n/a"
"herbarium_2-0-2","organization","Organization Information","Contact person","Contact date","contactGroupList > contactGroup","contactDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","organization","Organization Information","Contact person","Contact end date","contactGroupList > contactGroup","contactEndDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","person","Person Information",,"Birth date",,"birthDateGroup","structured date group","n","n","n/a"
"herbarium_2-0-2","person","Person Information",,"Death date",,"deathDateGroup","structured date group","n","n","n/a"
"herbarium_2-0-2","person","Maker-Supplied Identity Information","Supplied birth date","Birth date supplied","suppliedBirthDateGroupList > suppliedBirthDateGroup","suppliedStructuredBirthDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","place","Place Information","Term","Term date","placeTermGroupList > placeTermGroup","nameDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","place","Place Information","Ownership","Ownership date","placeOwnerGroupList > placeOwnerGroup","ownershipDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","place","Georeference Information","Georeference","Georeference date","placeGeoRefGroupList > placeGeoRefGroup","geoRefDateGroup","structured date group","n","n","y"
"herbarium_2-0-2","work","Work Information",,"Work date","workDateGroupList","workDateGroup","structured date group","n","y","n"
"publicart_4-0-3","acquisition","Commission Information",,"Commission date",,"commissionDate","structured date group","n","n","n/a"
"publicart_4-0-3","citation","Citation Information","Publication","Publication date","citationPublicationInfoGroupList > citationPublicationInfoGroup","publicationDate","structured date group","n","n","y"
"publicart_4-0-3","citation","Citation Information","Resource identifier","Resource identifier capture date","citationResourceIdentGroupList > citationResourceIdentGroup","captureDate","structured date group","n","n","y"
"publicart_4-0-3","collectionobject","Object Production Information","Artwork date","Artwork date","publicartProductionDateGroupList > publicartProductionDateGroup","publicartProductionDate","structured date group","n","n","y"
"publicart_4-0-3","exhibition","Exhibition Information","Gallery rotation","Gallery rotation start date","galleryRotationGroupList > galleryRotationGroup","galleryRotationStartDateGroup","structured date group","n","n","y"
"publicart_4-0-3","exhibition","Exhibition Information","Gallery rotation","Gallery rotation end date","galleryRotationGroupList > galleryRotationGroup","galleryRotationEndDateGroup","structured date group","n","n","y"
"publicart_4-0-3","media","Media Handling Information",,"Date","dateGroupList","dateGroup","structured date group","n","y","n"
