"profile","record_type","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats"
"lhmc_5-0-3","collectionobject","Object History and Association Information",,"Ownership date","ownershipDateGroupList","ownershipDateGroup","structured date group","n","y","n"
"lhmc_5-0-3","collectionobject","Object Collection Information",,"Field collection date",,"fieldCollectionDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","exhibition","Exhibition Information","Gallery rotation","Gallery rotation start date","galleryRotationGroupList > galleryRotationGroup","galleryRotationStartDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","exhibition","Exhibition Information","Gallery rotation","Gallery rotation end date","galleryRotationGroupList > galleryRotationGroup","galleryRotationEndDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","media","Media Handling Information",,"Date","dateGroupList","dateGroup","structured date group","n","y","n"
"lhmc_5-0-3","objectexit","Object Exit Information",,"Exit date",,"exitDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","organization","Organization Information",,"Foundation date",,"foundingDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","organization","Organization Information",,"Dissolution date",,"dissolutionDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","organization","Organization Information","Contact person","Contact date","contactGroupList > contactGroup","contactDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","organization","Organization Information","Contact person","Contact end date","contactGroupList > contactGroup","contactEndDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","person","Person Information",,"Born",,"birthDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","person","Person Information",,"Died",,"deathDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","person","Maker-Supplied Identity Information","Supplied birth date","Birth date supplied","suppliedBirthDateGroupList > suppliedBirthDateGroup","suppliedStructuredBirthDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","place","Place Information","Term","Term date","placeTermGroupList > placeTermGroup","nameDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","place","Place Information","Ownership","Ownership date","placeOwnerGroupList > placeOwnerGroup","ownershipDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","place","Georeference Information","Georeference","Georeference date","placeGeoRefGroupList > placeGeoRefGroup","geoRefDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","work","Work Information",,"Work date","workDateGroupList","workDateGroup","structured date group","n","y","n"
