fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension coordUncertaintyUnit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.coordUncertaintyUnit,Locality Information,"",Coord uncertainty unit,localityGroupList > localityGroup,coordUncertaintyUnit,string,n,n,y,option list: coordUncertaintyUnits,"feet, kilometers, meters, miles, unknown"
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vDepth,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vDepth,Locality Information,Depth,Depth verbatim,localityGroupList > localityGroup,vDepth,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension minDepth,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.minDepth,Locality Information,Depth,Depth min,localityGroupList > localityGroup,minDepth,float,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension maxDepth,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.maxDepth,Locality Information,Depth,Depth max,localityGroupList > localityGroup,maxDepth,float,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension depthUnit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.depthUnit,Locality Information,Depth,Depth unit,localityGroupList > localityGroup,depthUnit,string,n,n,y,option list: depthUnits,"centimeters, fathoms, feet, furlongs, inches, kilometers, meters, miles, rods, uncertain"
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vElevation,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vElevation,Locality Information,Elevation,Elevation verbatim,localityGroupList > localityGroup,vElevation,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension minElevation,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.minElevation,Locality Information,Elevation,Elevation min,localityGroupList > localityGroup,minElevation,float,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension maxElevation,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.maxElevation,Locality Information,Elevation,Elevation max,localityGroupList > localityGroup,maxElevation,float,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension elevationUnit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.elevationUnit,Locality Information,Elevation,Elevation unit,localityGroupList > localityGroup,elevationUnit,string,n,n,y,option list: elevationUnits,"feet, meters, uncertain"
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vDistanceAboveSurface,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vDistanceAboveSurface,Locality Information,Distance above surface,Distance above surface verbatim,localityGroupList > localityGroup,vDistanceAboveSurface,string,n,n,y,"",""
