profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Material,material,ns2:collectionobjects_common.material,materialMaterialLocal; materialMaterialShared; materialRefname,string,n,y,n,authority; refname,material/local; material/shared; authority refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Handling,handling,ns2:collectionobjects_materials.handling,handling; handlingRefname,string,n,n,y,vocabulary; refname,materialhandling; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Handling note,handlingNote,ns2:collectionobjects_materials.handlingNote,handlingNote,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Container,container,ns2:collectionobjects_materials.container,container; containerRefname,string,n,n,y,vocabulary; refname,materialcontainer; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Container note,containerNote,ns2:collectionobjects_materials.containerNote,containerNote,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Condition,condition,ns2:collectionobjects_materials.condition,condition; conditionRefname,string,n,n,y,vocabulary; refname,materialcondition; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Condition note,conditionNote,ns2:collectionobjects_materials.conditionNote,conditionNote,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Computed current location,computedCurrentLocation,ns2:collectionobjects_common.computedCurrentLocation,computedCurrentLocationLocationLocal; computedCurrentLocationLocationOffsite; computedCurrentLocationOrganizationLocal; computedCurrentLocationOrganizationShared; computedCurrentLocationRefname,string,n,n,n/a,authority; refname,location/local; location/offsite; organization/local; organization/shared; authority refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Annotation type,annotationType,ns2:collectionobjects_annotation.annotationType,annotationType; annotationTypeRefname,string,n,n,y,vocabulary; refname,annotationtype; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Annotation date,annotationDate,ns2:collectionobjects_annotation.annotationDate,annotationDate,date,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Annotation author,annotationAuthor,ns2:collectionobjects_annotation.annotationAuthor,annotationAuthorPersonLocal; annotationAuthorPersonShared; annotationAuthorRefname,string,n,n,y,authority; refname,person/local; person/shared; authority refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Annotation note,annotationNote,ns2:collectionobjects_annotation.annotationNote,annotationNote,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Description Information,"",Object type,objectStatus,ns2:collectionobjects_common.objectStatus,objectStatus,string,n,y,n,option list,objectTypes,"fragment, mock_up, product, prototype, sample"
materials_4-0-1,Object,collectionobject,Object Description Information,"",Finish,finish,ns2:collectionobjects_materials.finish,finish; finishRefname,string,n,n,y,vocabulary; refname,materialfinish; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Description Information,"",Finish note,finishNote,ns2:collectionobjects_materials.finishNote,finishNote,string,n,n,y,"","",""
