profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
lhmc_7-0-0,Person,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,person,assocPlace
lhmc_7-0-0,Person,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPlaceCitation
lhmc_7-0-0,Person,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event,person,assocChronology
lhmc_7-0-0,Person,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocChronologyCitation
lhmc_7-0-0,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/worldcat,place,termSource
lhmc_7-0-0,Place,Owner,Place Information,"",n,y,authority,person/local; organization/local,place,owner
lhmc_7-0-0,Place,Address municipality,Place Information,"",n,y,authority,place/local; place/tgn,place,addressMunicipality
lhmc_7-0-0,Place,Address state/province,Place Information,"",n,y,authority,place/local; place/tgn,place,addressStateOrProvince
lhmc_7-0-0,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
lhmc_7-0-0,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
lhmc_7-0-0,Place,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,place,assocPerson
lhmc_7-0-0,Place,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPersonCitation
lhmc_7-0-0,Place,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPeopleCitation
lhmc_7-0-0,Place,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,place,assocOrganization
lhmc_7-0-0,Place,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocOrganizationCitation
lhmc_7-0-0,Place,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion,place,assocConcept
lhmc_7-0-0,Place,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocConceptCitation
lhmc_7-0-0,Place,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,place,assocPlace
lhmc_7-0-0,Place,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPlaceCitation
lhmc_7-0-0,Place,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event,place,assocChronology
lhmc_7-0-0,Place,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocChronologyCitation
lhmc_7-0-0,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
